asset_id,zone,count,mean,std,min,max,p95,p5
ASSET_001,BEARING_A,2160,2.672,0.611,1.263,4.158,3.623,1.768
ASSET_001,BEARING_B,2160,1.805,0.438,0.613,2.853,2.5,1.137
ASSET_001,DRIVE_END,2160,2.88,0.66,1.407,4.363,3.905,1.899
ASSET_002,BEARING_A,2160,2.725,0.626,1.311,4.219,3.694,1.785
ASSET_002,BEARING_B,2160,4.203,0.935,2.199,6.019,5.615,2.809
ASSET_002,DRIVE_END,2160,4.358,0.965,2.442,6.48,5.812,2.965
ASSET_003,BEARING_A,2160,2.727,0.628,1.256,4.16,3.723,1.796
ASSET_003,BEARING_B,2160,3.037,0.69,1.486,4.566,4.1,2.009
ASSET_003,DRIVE_END,2160,3.197,0.733,1.546,4.701,4.337,2.132
ASSET_004,BEARING_A,2160,3.841,1.072,1.605,6.898,5.78,2.264
ASSET_004,BEARING_B,2160,3.003,0.839,1.128,5.376,4.532,1.765
ASSET_004,DRIVE_END,2160,5.731,1.583,2.576,9.905,8.65,3.417
ASSET_005,BEARING_A,2160,2.458,0.577,1.211,3.688,3.339,1.584
ASSET_005,BEARING_B,2160,2.577,0.596,1.233,4.016,3.485,1.69
ASSET_005,DRIVE_END,2160,3.201,0.725,1.504,4.974,4.328,2.116
