total_variants,snps,indels,ts_tv_ratio,het_hom_ratio,mean_depth,mean_quality,pass_rate,sample_id,cram_path
3121958,2653664,468294,2.044976551083605,1.9030866144900815,32.36930416872411,568.4225061632877,0.9678333101141436,S001,./data/crams/S001.cram
3521430,2993215,528215,2.2579212815507392,1.9534869458305817,27.65262807032524,527.1280021792983,0.957272998688284,S002,./data/crams/S002.cram
3235796,2750426,485370,2.246237812034602,2.1077429935229195,17.804470924719883,530.1720612519066,0.9518666265285446,S003,./data/crams/S003.cram
3527035,2997979,529056,2.0296656198292595,1.372075868784752,26.852625195378746,529.8860233456304,0.9705693775365445,S004,./data/crams/S004.cram
3555839,3022463,533376,2.2134339265502545,1.7790508903391138,27.374385744349954,595.6385635679603,0.9505305984463946,S005,./data/crams/S005.cram
3270936,2780295,490641,2.0399361310081194,1.7416612500413446,26.991466938853016,592.6139092254468,0.9548815293937911,S006,./data/crams/S006.cram
3256508,2768031,488477,2.063182905865646,1.8751129267681388,24.03420885255454,479.54740491380346,0.9802144564127061,S007,./data/crams/S007.cram
3459773,2940807,518966,2.377831304155244,2.0387279448564635,31.093191580269313,544.0880519474306,0.9868749694009247,S008,./data/crams/S008.cram
3487879,2964697,523182,2.178553212449825,2.3312020182544084,31.31743020115105,582.0885558007038,0.9734700466265539,S009,./data/crams/S009.cram
3719064,3161204,557860,2.1343618289568465,1.4473919689274533,31.620419846973974,480.74588597918415,0.9529820257471908,S010,./data/crams/S010.cram
