feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
-0.5623,0.615,-0.6068,-0.3995,1.3084,0.9703,-1.0569,-0.19,0.2092,-0.6585,-0.2036,-1.9253,1.222,1.0985,-2.1034,-0.4176,0.0091,0.126,1.3243,-0.3254,-0.3494,0.287,0.1461,-0.4687,0.1482,-0.5688,-1.2531,-0.034,-1.6197,0.8352,-1.672,1.0232,1
-1.1598,0.7519,0.9997,1.2727,-1.2463,-2.0465,-0.3576,-1.1466,-0.0291,1.316,0.9651,-0.7901,0.3397,0.29,0.4667,-1.0121,-0.5318,0.3644,-1.6855,-0.2723,0.6305,0.824,-0.2196,0.278,0.3674,-1.0782,-0.319,-0.0519,-0.2672,1.1302,-1.12,-1.0061,0
-0.8895,-0.6115,1.1947,0.2878,0.112,0.1136,0.4763,2.4941,0.6186,0.0712,0.3458,-1.4253,0.5144,2.3115,0.3708,-0.6845,1.1116,-1.8012,1.8972,1.3689,0.9644,0.296,0.5589,-0.0715,-0.181,-0.8926,-1.3405,0.2358,1.2098,-0.5654,-0.0163,0.2702,2
1.1763,-0.5016,0.7072,0.2813,0.0068,-1.6714,-0.181,-0.0752,2.1576,-0.1878,1.1055,0.3106,-1.2908,-1.2707,0.0561,0.504,0.7102,-1.1343,1.6375,-1.1885,-1.5421,-0.275,-1.2831,0.8159,1.0691,-1.0486,-0.6734,0.3836,-1.0178,-0.4452,0.5144,1.0631,3
1.8537,0.2572,-0.9527,-0.5575,0.3019,0.9695,0.234,-0.5188,-1.1537,-3.8197,0.5641,-0.4145,0.3386,1.3285,0.2176,0.7121,1.0526,-1.1115,-0.7307,0.693,-0.7648,1.3573,1.5079,0.7261,2.1076,1.4905,0.2997,-0.2324,-0.3223,0.6958,-0.9285,-0.6308,2
-0.9319,-1.2952,-0.356,0.6485,-0.7116,-0.5137,1.567,-0.2257,2.0354,-0.2735,0.3398,-0.587,1.0476,0.3446,-0.8181,0.6103,0.6253,0.0337,0.5409,-0.244,-0.6173,2.1604,-1.3857,-0.2919,-3.0712,-0.0391,0.8463,-0.9998,0.1351,-0.0116,-2.5784,0.5737,2
-1.2012,0.9728,-0.5856,0.4211,-0.0619,1.0581,-0.4081,0.9064,-0.882,-0.0708,-0.2493,-0.9937,1.1417,0.1786,-1.0216,1.14,0.277,-0.2506,-0.5164,1.2198,1.6295,-1.4963,-0.9743,-0.0941,-2.1944,0.0524,0.5319,-0.1088,0.7891,0.97,1.1923,-1.4115,0
-0.4705,-0.0588,1.3974,0.3592,-0.8087,-1.4408,-1.6034,1.2791,-0.4033,1.7329,0.3428,0.092,-1.2566,0.3727,-1.0648,0.6617,0.2874,-0.2506,0.2716,-1.4882,0.0457,1.9763,-1.2918,0.875,-0.0732,0.7153,-0.0554,-0.2517,1.1184,0.6823,0.1529,-0.2945,2
-1.1771,0.2575,2.3182,-0.0922,-1.0142,-1.5661,-0.4926,0.5124,-0.4882,-2.6652,1.5243,0.5323,-0.8379,-1.0223,-0.5352,0.7303,-0.7163,2.2044,0.3175,0.4605,0.7274,-0.1824,0.9696,1.1386,1.6769,-1.8839,0.0637,0.5021,0.3684,0.4337,-0.3564,-0.6784,1
0.3136,0.8033,-0.8801,-0.5331,-1.4302,-1.1423,-0.3018,0.0762,0.5245,1.4026,-0.5976,-0.5927,-2.9696,1.7002,-1.2816,-1.3212,-1.1952,0.6447,0.4832,-0.2655,-1.0654,-0.143,-0.2759,0.8521,-0.5669,0.0376,1.1556,-1.0998,0.6718,-0.8192,-0.6792,0.0693,2
0.6588,1.7469,0.5151,-1.5157,0.4271,-0.8754,0.5531,-0.7013,-0.3135,-0.0533,-0.3821,0.1502,-0.0276,1.0591,-1.638,0.0898,-1.381,-0.6545,0.649,1.4101,1.2901,0.6019,0.3373,-0.9893,0.1699,-0.5093,0.3861,1.4745,-0.8545,-1.5256,0.1013,-0.4513,3
1.1564,1.5994,-1.254,-0.5072,-2.65,-1.5361,0.4827,-1.1734,1.4668,1.3263,-0.979,0.7546,-0.3391,0.6264,-0.5969,-0.737,-0.0672,0.8009,0.1963,0.0318,0.0003,-0.6659,-1.4554,-0.2117,-1.6089,0.6666,-1.1104,0.0029,1.127,0.3861,-0.8021,1.9114,1
0.6816,-1.6527,-0.696,-0.867,1.13,2.1328,0.562,-1.534,-0.9715,-0.5308,-1.868,-0.97,-0.0712,-2.3203,0.0757,-1.3442,-0.7611,1.3537,-1.2879,-0.3695,-0.2486,-0.2929,0.6751,2.5652,-0.689,1.686,-0.0489,-0.0822,0.5032,-0.0892,0.1009,-0.2767,1
1.7026,-1.2541,-0.3587,-1.1237,0.306,-1.8103,1.1485,0.6043,-0.5455,-1.125,-1.2651,-1.3497,0.1506,-0.9443,-0.7469,1.6033,0.266,0.3241,0.6835,-0.9271,-0.071,0.5538,0.2766,1.2688,-1.4625,-0.4362,1.1368,-0.5204,-0.1803,-0.4639,-0.3943,-0.1838,1
-0.0874,-0.1163,-0.3134,0.8892,-0.9746,2.7331,-0.4405,0.1779,-0.6649,-0.1103,1.5579,-1.8507,-0.3526,1.1705,0.4995,0.3679,0.5465,0.2016,1.0681,-1.104,0.7996,-0.658,1.1375,-0.3805,2.0445,0.2084,0.166,-0.7192,-0.7904,-0.374,0.8087,0.2433,0
-0.5645,-1.2815,-1.3744,0.8335,-0.8007,0.1096,1.9637,-0.3179,-0.3283,0.46,0.5538,-1.826,-0.5826,0.2793,0.3064,0.2978,-0.6883,0.3762,0.1389,0.1163,0.9138,-0.5518,-0.3239,-0.7355,-0.3704,-0.0536,-0.5482,-0.1716,-0.3128,-0.2058,-1.0695,-1.1276,2
1.4141,-0.4751,-1.7653,0.9677,0.1468,-0.5254,1.3107,0.9294,0.326,-0.3938,2.1302,1.0721,-1.1514,2.4629,0.3447,1.0711,-0.3557,-0.3339,-0.0906,0.4729,-1.1085,-0.806,-0.6794,-1.8533,0.4089,0.5316,1.0745,0.2781,-1.928,-0.2235,0.8665,-0.3624,1
0.2025,-2.3157,0.2017,-1.0873,-0.3936,-1.1737,0.8722,0.4805,0.3983,0.7028,0.0714,-0.4664,0.3867,-0.0484,-0.4069,0.0313,-0.5538,-0.2747,0.5611,1.1743,0.3157,-0.7437,2.01,0.3764,0.5592,0.728,0.3301,-1.4319,0.9454,-1.8897,1.5632,-0.0603,0
0.426,-1.8134,1.1166,1.0199,1.5861,1.1189,-0.0255,-0.5151,-0.5008,0.6416,0.1893,1.0759,0.2013,-0.0118,-1.1708,0.99,-0.5244,0.3333,-0.9235,-0.5475,1.8963,1.5018,-1.1498,0.9649,0.3301,-0.0407,0.0957,1.1589,0.0082,-0.5246,0.0851,0.6581,1
-0.0371,-0.044,1.3389,1.0157,-2.1001,-0.2658,-0.4099,0.1969,-1.1323,0.0467,0.1935,0.5065,-1.0112,0.423,-0.5191,-1.5081,-0.2192,-1.1336,0.3445,0.7311,0.2726,-0.9574,1.2265,0.4461,1.7522,-0.0122,0.1266,-1.402,-0.2178,0.3784,-0.6242,0.5845,2
-0.5672,-2.8092,0.4445,0.7169,0.3507,0.2302,-0.3534,-0.599,0.2051,0.8484,0.3726,-2.0795,-0.3436,-0.2285,-0.4534,0.3526,-0.1978,0.4414,-0.0923,1.5779,-0.7041,-1.4609,-1.0797,-0.2647,0.3537,-0.8013,-0.5775,-1.8388,-0.1356,-0.372,-0.77,0.1036,1
0.1765,1.2126,0.1747,0.285,1.8714,-0.6247,0.6361,0.572,-0.1024,-0.3231,0.7606,-0.5448,1.0024,-0.0903,0.675,-1.0221,0.995,0.3661,0.7953,-0.1159,1.6698,1.8224,-1.5183,1.2601,-1.8688,0.0386,-0.5235,-1.3975,-0.7266,1.6535,-0.5957,0.1141,3
-1.7044,-0.3736,0.681,-0.2832,1.0564,0.4668,-0.9054,-1.7491,-2.0114,-0.9012,1.1434,-1.0735,-2.5937,-0.1507,0.329,1.0849,0.1314,-1.0426,-0.5067,0.3938,0.4961,0.3628,0.149,-0.9846,-0.0517,-0.237,-0.5239,0.4091,-0.5212,-1.0069,-0.9939,-1.0539,2
1.2149,-0.9497,1.3838,1.5687,-0.7061,0.0538,-0.6794,-0.435,-0.784,-1.4002,0.1061,0.0263,-1.4019,-1.3522,-1.7394,-1.0881,1.0283,-0.0206,0.4985,-0.7608,-0.7563,-1.5008,0.1427,-1.3819,1.3885,1.0002,-0.9195,0.7861,-0.3334,4.3431,0.033,1.2534,1
-0.6531,-0.1151,1.3163,-0.9346,0.6785,0.3105,-1.2883,-1.8742,0.9125,-0.6365,-0.0211,0.4383,-0.9107,-0.519,-0.7025,0.6304,0.8711,0.2609,-2.0793,1.5937,-0.0334,-0.6185,0.4092,-0.3027,-0.4443,0.2106,-0.5509,-0.4001,-0.2455,-1.0015,0.7119,0.5276,3
-0.2281,0.0027,1.3862,0.3424,-1.3255,-0.0967,-0.6854,0.1537,-0.0859,-0.7262,-1.4628,-0.2053,-0.7647,-0.6818,2.0002,-0.6622,-2.2349,-0.269,0.5119,1.3365,-1.2357,0.9001,0.6259,1.2402,-0.289,-2.5016,0.5816,0.3142,-1.0205,0.3532,0.4777,0.1546,1
-0.7468,0.6771,0.8882,0.9963,1.3108,-0.5621,0.6124,0.0982,-1.7461,0.6072,0.267,-0.7512,-0.8634,2.207,1.0507,2.1279,0.6718,-0.0563,-0.5862,-0.3993,-1.1615,-0.744,-0.0158,0.6315,-0.3829,0.2885,1.3284,-1.1645,1.0139,-1.0032,0.2705,-2.8098,0
0.5176,0.5071,0.1257,1.2418,-0.7591,-0.2491,0.1966,0.8061,-0.1424,0.1845,0.8635,0.1985,0.3145,2.5358,2.3808,1.2671,0.7694,0.6636,-0.3035,-1.0811,-1.386,-0.0669,-0.578,0.7625,1.4865,2.3317,-1.3288,-1.1398,1.082,-1.1379,-0.4115,-2.6306,0
1.3223,0.131,-0.5483,0.3212,0.4021,-0.3134,0.1176,-1.2673,1.2567,-0.4526,-0.4629,-2.4379,2.0904,-1.9926,0.3465,-0.7503,1.0556,-0.1957,-0.2817,-1.1665,-0.2748,-1.8069,-0.9753,-1.1083,1.5336,-1.9177,-0.3179,-0.6075,-1.3592,0.3485,-2.3207,-1.8745,0
-0.3671,0.4814,-0.6241,0.5305,-0.1507,1.3809,0.2543,0.1447,-0.6766,1.5904,0.8789,-0.6415,-1.0857,-2.0866,0.9257,0.4263,1.245,0.7842,-0.234,-0.6029,-1.3409,0.4299,3.1513,1.8061,-1.2302,-0.6208,1.4034,1.9712,0.2944,-0.4761,-1.7969,-0.6035,0
