seq_mean,seq_std,seq_skew,seq_kurtosis,autocorr_1,autocorr_2,autocorr_3,autocorr_5,autocorr_10,max_run_length,mean_run_length,run_std,unique_substrings_3,change_rate,first_symbol,last_symbol,first_half_freq_*,second_half_freq_*,half_diff_*,first_half_freq_v,second_half_freq_v,half_diff_v,first_half_freq_w,second_half_freq_w,half_diff_w,first_half_freq_z,second_half_freq_z,half_diff_z,first_half_freq_y,second_half_freq_y,half_diff_y,first_half_freq_u,second_half_freq_u,half_diff_u,first_half_freq_.,second_half_freq_.,half_diff_.,first_half_freq_x,second_half_freq_x,half_diff_x,q1_freq_*,q1_freq_v,q1_freq_w,q1_freq_z,q1_freq_y,q1_freq_u,q1_freq_.,q1_freq_x,q2_freq_*,q2_freq_v,q2_freq_w,q2_freq_z,q2_freq_y,q2_freq_u,q2_freq_.,q2_freq_x,q3_freq_*,q3_freq_v,q3_freq_w,q3_freq_z,q3_freq_y,q3_freq_u,q3_freq_.,q3_freq_x,q4_freq_*,q4_freq_v,q4_freq_w,q4_freq_z,q4_freq_y,q4_freq_u,q4_freq_.,q4_freq_x,pattern_peak_pattern,pattern_valley_pattern,pattern_constant_pattern,pattern_oscillating_pattern,group_trans_bright_bright,group_trans_bright_medium,group_trans_bright_dim,group_trans_medium_bright,group_trans_medium_medium,group_trans_medium_dim,group_trans_dim_bright,group_trans_dim_medium,group_trans_dim_dim,freq_*,freq_v,freq_w,freq_z,freq_y,freq_u,freq_.,freq_x,field_id,label,object_id
4.125,2.2603926650031405,-0.25914958298316176,-1.1328900485368796,0.014351437978149818,-0.1492673460152212,0.11894873708500311,-0.09656106314565983,0.0572304207772076,2,1.1111111111111112,0.3142696805273545,37,0.8974358974358975,6,7,0.0,0.15,-0.15,0.1,0.05,0.05,0.25,0.05,0.2,0.0,0.15,-0.15,0.15,0.15,0.0,0.2,0.1,0.1,0.1,0.1,0.0,0.2,0.25,-0.04999999999999999,0.0,0.1,0.1,0.0,0.1,0.3,0.2,0.2,0.0,0.1,0.4,0.0,0.2,0.1,0.0,0.2,0.2,0.1,0.0,0.2,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.05128205128205128,0.20512820512820512,0.1794871794871795,0.02564102564102564,0.2564102564102564,0.20512820512820512,0.075,0.075,0.15,0.075,0.15,0.15,0.1,0.225,5,1,obj0
3.25,2.342541355024496,0.0714719369842624,-1.181179010071554,-0.08306709265175717,-0.20651013874066168,0.11713792003197207,0.24727800747809248,-0.175730566290896,2,1.1428571428571428,0.3499271061118826,37,0.8717948717948718,0,0,0.2,0.2,0.0,0.05,0.1,-0.05,0.15,0.1,0.04999999999999999,0.15,0.1,0.04999999999999999,0.15,0.15,0.0,0.1,0.15,-0.04999999999999999,0.05,0.1,-0.05,0.15,0.1,0.04999999999999999,0.3,0.0,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.3,0.0,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.4,0.1,0.1,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.10256410256410256,0.1794871794871795,0.07692307692307693,0.20512820512820512,0.20512820512820512,0.2,0.075,0.125,0.125,0.15,0.125,0.075,0.125,1,1,obj1
3.775,2.1850343246731843,0.21655063571377928,-1.2493526571922577,-0.0869409108116024,-0.16887757446998033,0.06898162542893056,-0.007048314984544011,-0.0946009413699399,2,1.1764705882352942,0.3812200410828154,37,0.8461538461538461,3,2,0.0,0.05,-0.05,0.2,0.1,0.1,0.25,0.1,0.15,0.1,0.2,-0.1,0.2,0.15,0.05000000000000002,0.0,0.05,-0.05,0.05,0.15,-0.09999999999999999,0.2,0.2,0.0,0.0,0.1,0.2,0.2,0.2,0.0,0.1,0.2,0.0,0.3,0.3,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.1,0.3,0.1,0.0,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.3076923076923077,0.20512820512820512,0.02564102564102564,0.23076923076923078,0.20512820512820512,0.025,0.15,0.175,0.15,0.175,0.025,0.1,0.2,1,0,obj2
3.225,2.4646247178830287,0.09106948514203415,-1.364403807067071,0.14074866310160428,0.08454358093241153,-0.15635640848424054,-0.14941795622790535,-0.03204316546715525,2,1.1111111111111112,0.3142696805273545,38,0.8974358974358975,5,5,0.3,0.15,0.15,0.1,0.05,0.05,0.15,0.15,0.0,0.05,0.1,-0.05,0.15,0.1,0.04999999999999999,0.05,0.15,-0.09999999999999999,0.15,0.1,0.04999999999999999,0.05,0.2,-0.15000000000000002,0.2,0.1,0.2,0.1,0.2,0.1,0.0,0.1,0.4,0.1,0.1,0.0,0.1,0.0,0.3,0.0,0.2,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.3,0.1,0.3,0.02631578947368421,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.05128205128205128,0.10256410256410256,0.20512820512820512,0.10256410256410256,0.1794871794871795,0.1282051282051282,0.225,0.075,0.15,0.075,0.125,0.1,0.125,0.125,1,1,obj3
3.3,2.2494443758403984,0.4014166505184734,-1.1164094111765528,-0.30082552942218554,0.29187311621042894,-0.07148155354841401,-0.07804265750089504,-0.2360941489261692,3,1.1111111111111112,0.3928371006591931,37,0.8974358974358975,1,0,0.0,0.15,-0.15,0.15,0.2,-0.05000000000000002,0.25,0.15,0.1,0.2,0.15,0.05000000000000002,0.1,0.05,0.05,0.0,0.1,-0.1,0.05,0.15,-0.09999999999999999,0.25,0.05,0.2,0.0,0.2,0.1,0.2,0.1,0.0,0.1,0.3,0.0,0.1,0.4,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.3,0.0,0.2,0.2,0.0,0.2,0.3,0.2,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.2564102564102564,0.23076923076923078,0.02564102564102564,0.23076923076923078,0.15384615384615385,0.075,0.175,0.2,0.175,0.075,0.05,0.1,0.15,4,0,obj4
4.025,2.3074607255595923,-0.07930658519422637,-1.4125536503676601,0.15248036482832586,0.026042962173719285,-0.19902484240536505,-0.08431416781950196,-0.2996858813194741,3,1.25,0.5,34,0.7948717948717948,1,0,0.0,0.1,-0.1,0.2,0.0,0.2,0.3,0.15,0.15,0.1,0.05,0.05,0.0,0.15,-0.15,0.15,0.1,0.04999999999999999,0.1,0.15,-0.04999999999999999,0.15,0.3,-0.15,0.0,0.3,0.4,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.2,0.0,0.2,0.1,0.2,0.0,0.0,0.2,0.1,0.2,0.0,0.2,0.3,0.2,0.0,0.1,0.0,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.28205128205128205,0.2564102564102564,0.02564102564102564,0.2564102564102564,0.1282051282051282,0.05,0.1,0.225,0.075,0.075,0.125,0.125,0.225,4,0,obj5
2.975,2.2415117666432183,0.1377922914629786,-1.203108691379061,0.17848387885964642,-0.20584788174582822,-0.07645317740128454,-0.09191724517925548,-0.0461773662929496,2,1.25,0.4330127018922193,34,0.7948717948717948,3,0,0.15,0.25,-0.1,0.15,0.15,0.0,0.0,0.15,-0.15,0.2,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.05,0.05,0.1,0.1,0.0,0.3,0.0,0.3,0.2,0.0,0.2,0.2,0.0,0.1,0.2,0.1,0.0,0.2,0.2,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.3,0.2,0.2,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.02564102564102564,0.07692307692307693,0.07692307692307693,0.10256410256410256,0.1282051282051282,0.07692307692307693,0.07692307692307693,0.10256410256410256,0.3333333333333333,0.2,0.15,0.075,0.15,0.1,0.2,0.05,0.075,3,1,obj6
2.65,2.26439837484485,0.6956297333273356,-0.688443234811194,-0.02318799185471382,-0.14448198301847742,-0.14225893945360235,0.07900132634326065,0.015358294199598084,4,1.2121212121212122,0.5907148087763008,35,0.8205128205128205,0,2,0.15,0.2,-0.05000000000000002,0.25,0.2,0.04999999999999999,0.2,0.15,0.05000000000000002,0.2,0.05,0.15000000000000002,0.1,0.05,0.05,0.05,0.1,-0.05,0.0,0.05,-0.05,0.05,0.2,-0.15000000000000002,0.2,0.1,0.2,0.2,0.1,0.1,0.0,0.1,0.1,0.4,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.3,0.1,0.1,0.1,0.0,0.1,0.2,0.3,0.1,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.05128205128205128,0.1282051282051282,0.0,0.05128205128205128,0.23076923076923078,0.23076923076923078,0.05128205128205128,0.1794871794871795,0.07692307692307693,0.175,0.225,0.175,0.125,0.075,0.075,0.025,0.125,2,1,obj7
3.225,2.252637343204627,0.11271429131402314,-1.158335803694524,0.11599999999999999,-0.22563380281690146,-0.17491367219344775,0.3490645997987957,-0.17099318758426443,3,1.1764705882352942,0.4518321028158005,37,0.8461538461538461,0,0,0.15,0.15,0.0,0.1,0.2,-0.1,0.1,0.1,0.0,0.15,0.1,0.04999999999999999,0.2,0.15,0.05000000000000002,0.15,0.05,0.09999999999999999,0.15,0.05,0.09999999999999999,0.0,0.2,-0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.0,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.2,0.2,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.10256410256410256,0.05128205128205128,0.20512820512820512,0.10256410256410256,0.07692307692307693,0.1282051282051282,0.3076923076923077,0.15,0.15,0.1,0.125,0.175,0.1,0.1,0.1,4,0,obj8
4.3,2.315167380558045,-0.5480568248487713,-1.1131411505903315,-0.12746437443560737,-0.2260239680369169,0.03352712189469476,-0.04343398521439781,0.04557154708568581,2,1.1764705882352942,0.3812200410828153,37,0.8461538461538461,2,5,0.1,0.05,0.05,0.05,0.2,-0.15000000000000002,0.15,0.0,0.15,0.1,0.05,0.05,0.05,0.05,0.0,0.15,0.2,-0.05000000000000002,0.25,0.25,0.0,0.15,0.2,-0.05000000000000002,0.0,0.1,0.2,0.2,0.0,0.0,0.3,0.2,0.2,0.0,0.1,0.0,0.1,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.2,0.4,0.1,0.0,0.3,0.0,0.1,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.1282051282051282,0.23076923076923078,0.05128205128205128,0.20512820512820512,0.28205128205128205,0.075,0.125,0.075,0.075,0.05,0.175,0.25,0.175,2,0,obj9
