# Traveling wave profile for m=2, c=1.0
# xi f residual_fo residual_so
-1.000000000000000000e+01 4.472135954999579610e+00 -1.121398465439571446e-04 1.118032015921200661e-01
-9.979959919839679117e+00 4.467652609556763466e+00 -1.128165248720502944e-07 5.590143114825707471e-02
-9.959919839679358233e+00 4.463164760498845141e+00 -1.133848635814782568e-07 -3.401560633164990577e-07
-9.939879759519037350e+00 4.458672394226567803e+00 -1.139572287089940517e-07 -3.418739993321651127e-07
-9.919839679358718243e+00 4.454175497072093926e+00 -1.145336387398110389e-07 -3.435979465393756982e-07
-9.899799599198397360e+00 4.449674055298522113e+00 -1.151141364452712423e-07 -3.453474448633642169e-07
-9.879759519038076476e+00 4.445168055099396831e+00 -1.156987801953501815e-07 -3.471109124575377791e-07
-9.859719438877755593e+00 4.440657482598214578e+00 -1.162875900573290266e-07 -3.488715378807683010e-07
-9.839679358717434710e+00 4.436142323847924729e+00 -1.168805910112258317e-07 -3.506331012204100261e-07
-9.819639278557113826e+00 4.431622564830428601e+00 -1.174778110069052417e-07 -3.524306038116264972e-07
-9.799599198396792943e+00 4.427098191456067866e+00 -1.180793472166374869e-07 -3.542445341508937418e-07
-9.779559118236473836e+00 4.422569189563114733e+00 -1.186851883994144430e-07 -3.560540591251992737e-07
-9.759519038076152952e+00 4.418035544917255031e+00 -1.192953898165871607e-07 -3.578967806561195175e-07
-9.739478957915832069e+00 4.413497243211064180e+00 -1.199100179150036638e-07 -3.597343862793422886e-07
-9.719438877755511186e+00 4.408954270063483172e+00 -1.205290499073363719e-07 -3.615815273860789603e-07
-9.699398797595190302e+00 4.404406611019284767e+00 -1.211525831323889690e-07 -3.634684873077276279e-07
-9.679358717434869419e+00 4.399854251548537043e+00 -1.217806577524793710e-07 -3.653487823385148658e-07
-9.659318637274548536e+00 4.395297177046063375e+00 -1.224132759602980514e-07 -3.672343495964014437e-07
-9.639278557114227652e+00 4.390735372830894434e+00 -1.230505031757367362e-07 -3.691511238912426052e-07
-9.619238476953908545e+00 4.386168824145716627e+00 -1.236923961034364083e-07 -3.710814979740462149e-07
-9.599198396793587662e+00 4.381597516156313432e+00 -1.243389844418629764e-07 -3.730232691623314167e-07
-9.579158316633266779e+00 4.377021433951007623e+00 -1.249903209266101101e-07 -3.749797201635374222e-07
-9.559118236472945895e+00 4.372440562540089282e+00 -1.256464428889270124e-07 -3.769363416950000101e-07
-9.539078156312625012e+00 4.367854886855245589e+00 -1.263073734214525956e-07 -3.789257192465811386e-07
-9.519038076152304129e+00 4.363264391748981730e+00 -1.269732189113081944e-07 -3.809363988693803549e-07
-9.498997995991983245e+00 4.358669061994035587e+00 -1.276439791642047794e-07 -3.829303238944703480e-07
-9.478957915831664138e+00 4.354068882282792430e+00 -1.283196813806064540e-07 -3.849479384143705829e-07
-9.458917835671343255e+00 4.349463837226686280e+00 -1.290004111309528412e-07 -3.870100044878199697e-07
-9.438877755511022372e+00 4.344853911355598619e+00 -1.296862405797405415e-07 -3.890749837864859728e-07
-9.418837675350701488e+00 4.340239089117257976e+00 -1.303771680893905938e-07 -3.911294754743721569e-07
-9.398797595190380605e+00 4.335619354876619980e+00 -1.310732383741353146e-07 -3.932120051786114345e-07
-9.378757515030059722e+00 4.330994692915257183e+00 -1.317745321194330188e-07 -3.953422833546937909e-07
-9.358717434869738838e+00 4.326365087430726675e+00 -1.324811371994361053e-07 -3.974585496280269581e-07
-9.338677354709417955e+00 4.321730522535947472e+00 -1.331930034043082856e-07 -3.995742048346073716e-07
-9.318637274549098848e+00 4.317090982258561915e+00 -1.339102478625786574e-07 -4.017338284256766201e-07
-9.298597194388777964e+00 4.312446450540290854e+00 -1.346329168150361966e-07 -4.038908087977688410e-07
-9.278557114228457081e+00 4.307796911236288828e+00 -1.353610282472939019e-07 -4.060761398250178900e-07
-9.258517034068136198e+00 4.303142348114488591e+00 -1.360946959572117976e-07 -4.083019007339316886e-07
-9.238476953907815314e+00 4.298482744854936755e+00 -1.368339652418892882e-07 -4.105058764025670826e-07
-9.218436873747494431e+00 4.293818085049131206e+00 -1.375788160618007794e-07 -4.127315662572073052e-07
-9.198396793587175324e+00 4.289148352199344316e+00 -1.383293890266923398e-07 -4.149933516828241409e-07
-9.178356713426854441e+00 4.284473529717940821e+00 -1.390856959326836062e-07 -4.172660794665716821e-07
-9.158316633266533557e+00 4.279793600926693031e+00 -1.398478241265710409e-07 -4.195539275997361983e-07
-9.138276553106212674e+00 4.275108549056085394e+00 -1.406157953132147753e-07 -4.218470337491453392e-07
-9.118236472945891791e+00 4.270418357244613716e+00 -1.413896761892630138e-07 -4.241762781020952389e-07
-9.098196392785570907e+00 4.265723008538077288e+00 -1.421695571546255366e-07 -4.265186106522378395e-07
-9.078156312625250024e+00 4.261022485888862121e+00 -1.429554553622480739e-07 -4.288710329092282336e-07
-9.058116232464929141e+00 4.256316772155223305e+00 -1.437474557441920098e-07 -4.312402666073467117e-07
-9.038076152304610034e+00 4.251605850100549588e+00 -1.445455909965254193e-07 -4.336254306736009312e-07
-9.018036072144289150e+00 4.246889702392632415e+00 -1.453499453574202960e-07 -4.360592384955452872e-07
-8.997995991983968267e+00 4.242168311602916297e+00 -1.461606253527758525e-07 -4.385015586194640491e-07
-8.977955911823647384e+00 4.237441660205753635e+00 -1.469776271800782297e-07 -4.409377396541458438e-07
-8.957915831663326500e+00 4.232709730577641771e+00 -1.478010257238704384e-07 -4.434059803770651342e-07
-8.937875751503005617e+00 4.227972504996456493e+00 -1.486309034737232082e-07 -4.458849502952944022e-07
-8.917835671342684734e+00 4.223229965640678429e+00 -1.494672886848125160e-07 -4.483975573066345532e-07
-8.897795591182365627e+00 4.218482094588613229e+00 -1.503103164712804585e-07 -4.509431192900592578e-07
-8.877755511022044743e+00 4.213728873817593978e+00 -1.511600148662584076e-07 -4.534868764949351316e-07
-8.857715430861723860e+00 4.208970285203193384e+00 -1.520164421009440048e-07 -4.560630202377069509e-07
-8.837675350701402976e+00 4.204206310518408429e+00 -1.528797043126584043e-07 -4.586437967191159260e-07
-8.817635270541082093e+00 4.199436931432851239e+00 -1.537497981707325323e-07 -4.612483195387540036e-07
-8.797595190380761210e+00 4.194662129511925741e+00 -1.546268745822310109e-07 -4.638940254153567366e-07
-8.777555110220440326e+00 4.189881886215991891e+00 -1.555109708228918919e-07 -4.665355817223826307e-07
-8.757515030060119443e+00 4.185096182899532558e+00 -1.564021362143730443e-07 -4.692042381293504150e-07
-8.737474949899800336e+00 4.180305000810299987e+00 -1.573004803911981497e-07 -4.719150155096940580e-07
-8.717434869739479453e+00 4.175508321088458707e+00 -1.582060886184954995e-07 -4.746254091969603905e-07
-8.697394789579158569e+00 4.170706124765723111e+00 -1.591189742744525404e-07 -4.773540922542451881e-07
-8.677354709418837686e+00 4.165898392764479929e+00 -1.600392670608741241e-07 -4.801325843573067687e-07
-8.657314629258516803e+00 4.161085105896901837e+00 -1.609670542968011375e-07 -4.829017967722393223e-07
-8.637274549098195919e+00 4.156266244864059267e+00 -1.619023304866296087e-07 -4.856975550637798733e-07
-8.617234468937875036e+00 4.151441790255013586e+00 -1.628452674096170227e-07 -4.885530415776884183e-07
-8.597194388777555929e+00 4.146611722545904044e+00 -1.637959382017051269e-07 -4.913961930697041680e-07
-8.577154308617235046e+00 4.141776022099030286e+00 -1.647543485527869223e-07 -4.942521485418183147e-07
-8.557114228456914162e+00 4.136934669161917988e+00 -1.657206314398251834e-07 -4.971640805706556421e-07
-8.537074148296593279e+00 4.132087643866377391e+00 -1.666948949985425088e-07 -5.001029563800329925e-07
-8.517034068136272396e+00 4.127234926227552059e+00 -1.676772060921205565e-07 -5.030473602118945564e-07
-8.496993987975951512e+00 4.122376496142959645e+00 -1.686676240619799927e-07 -5.060079359964220203e-07
-8.476953907815630629e+00 4.117512333391517565e+00 -1.696662423888994908e-07 -5.090036410138054634e-07
-8.456913827655309746e+00 4.112642417632564218e+00 -1.706731664885552391e-07 -5.120256645341214607e-07
-8.436873747494990639e+00 4.107766728404861567e+00 -1.716884707181343117e-07 -5.150679243115519057e-07
-8.416833667334669755e+00 4.102885245125597713e+00 -1.727122480865705967e-07 -5.181394726605503820e-07
-8.396793587174348872e+00 4.097997947089370818e+00 -1.737445958494010512e-07 -5.212400964182961616e-07
-8.376753507014027988e+00 4.093104813467162373e+00 -1.747856083755827683e-07 -5.243606295834979392e-07
-8.356713426853707105e+00 4.088205823305306019e+00 -1.758353628256159595e-07 -5.275124834724920220e-07
-8.336673346693386222e+00 4.083300955524435949e+00 -1.768939826285453876e-07 -5.306917785219411599e-07
-8.316633266533067115e+00 4.078390188918433523e+00 -1.779615375063769989e-07 -5.338908124485897133e-07
-8.296593186372746231e+00 4.073473502153351689e+00 -1.790381343180769136e-07 -5.371156532874010736e-07
-8.276553106212425348e+00 4.068550873766340281e+00 -1.801238588838849353e-07 -5.403791618618924986e-07
-8.256513026052104465e+00 4.063622282164548238e+00 -1.812188513972134984e-07 -5.436714047846180620e-07
-8.236472945891783581e+00 4.058687705624019593e+00 -1.823231754738419141e-07 -5.469764516874420224e-07
-8.216432865731462698e+00 4.053747122288577920e+00 -1.834369346975783799e-07 -5.503184468125255080e-07
-8.196392785571141815e+00 4.048800510168694800e+00 -1.845602531913570488e-07 -5.536902705216562026e-07
-8.176352705410820931e+00 4.043847847140349394e+00 -1.856932193566862566e-07 -5.570762624529379536e-07
-8.156312625250501824e+00 4.038889110943874705e+00 -1.868359209566960999e-07 -5.605145645404263632e-07
-8.136272545090180941e+00 4.033924279182786066e+00 -1.879885419830973348e-07 -5.639743250185347279e-07
-8.116232464929860058e+00 4.028953329322606969e+00 -1.891510966467446764e-07 -5.674470031635792111e-07
-8.096192384769539174e+00 4.023976238689671803e+00 -1.903237502043353402e-07 -5.709852075597154908e-07
-8.076152304609218291e+00 4.018992984469920593e+00 -1.915066485114191863e-07 -5.745452682504037512e-07
-8.056112224448897408e+00 4.014003543707677757e+00 -1.926998515477951202e-07 -5.781012646366434637e-07
-8.036072144288576524e+00 4.009007893304421088e+00 -1.939034429132568960e-07 -5.817057058266073000e-07
-8.016032064128257417e+00 4.004006010017532091e+00 -1.951176151482325594e-07 -5.853671751765432418e-07
-7.995991983967936534e+00 3.998997870459032100e+00 -1.963424756667997428e-07 -5.890373984129837481e-07
-7.975951903807615651e+00 3.993983451094312187e+00 -1.975780991037012768e-07 -5.927400508198843454e-07
-7.955911823647294767e+00 3.988962728240838196e+00 -1.988246545181482361e-07 -5.964829341564836795e-07
-7.935871743486973884e+00 3.983935678066846897e+00 -2.000822383330103094e-07 -6.002499475243894267e-07
-7.915831663326653000e+00 3.978902276590027931e+00 -2.013509817211378561e-07 -6.040608013790915720e-07
-7.895791583166332117e+00 3.973862499676185767e+00 -2.026310334524161760e-07 -6.079062444541705190e-07
-7.875751503006012122e+00 3.968816323037893223e+00 -2.039225038830139169e-07 -6.117735580346561619e-07
-7.855711422845692127e+00 3.963763722233123232e+00 -2.052255120288393186e-07 -6.156825378411667771e-07
-7.835671342685371243e+00 3.958704672663868163e+00 -2.065402214257439084e-07 -6.196323170115647372e-07
-7.815631262525050360e+00 3.953639149574743605e+00 -2.078667513671916822e-07 -6.236091820710498723e-07
-7.795591182364729477e+00 3.948567128051574393e+00 -2.092052333035887557e-07 -6.276223700751870638e-07
-7.775551102204408593e+00 3.943488583019965521e+00 -2.105558128961959596e-07 -6.316726057775667869e-07
-7.755511022044087710e+00 3.938403489243855304e+00 -2.119186262583561131e-07 -6.357650477184506599e-07
-7.735470941883767715e+00 3.933311821324052548e+00 -2.132938353716085089e-07 -6.398890519676569966e-07
-7.715430861723446831e+00 3.928213553696755511e+00 -2.146815518133671219e-07 -6.440529176643394749e-07
-7.695390781563126836e+00 3.923108660632057099e+00 -2.160819618790554841e-07 -6.482630254822652205e-07
-7.675350701402805953e+00 3.917997116232426524e+00 -2.174951970190797113e-07 -6.524925026951677864e-07
-7.655310621242485070e+00 3.912878894431179422e+00 -2.189213765824149505e-07 -6.567696431147851399e-07
-7.635270541082164186e+00 3.907753968990925308e+00 -2.203607089024117727e-07 -6.610914340399176581e-07
-7.615230460921843303e+00 3.902622313501997731e+00 -2.218133086651086217e-07 -6.654461799371347297e-07
-7.595190380761523308e+00 3.897483901380869753e+00 -2.232793569478808138e-07 -6.698467842625177582e-07
-7.575150300601202424e+00 3.892338705868543247e+00 -2.247590055182158153e-07 -6.742927922687158571e-07
-7.555110220440882429e+00 3.887186700028925301e+00 -2.262524378404684455e-07 -6.787711441802457557e-07
-7.535070140280561546e+00 3.882027856747182426e+00 -2.277597744848591788e-07 -6.832881922491651494e-07
-7.515030060120240663e+00 3.876862148728076995e+00 -2.292812193438464874e-07 -6.878534719589879387e-07
-7.494989979959919779e+00 3.871689548494279709e+00 -2.308169215758937298e-07 -6.924578030975681031e-07
-7.474949899799598896e+00 3.866510028384666953e+00 -2.323670644788222717e-07 -6.971050368065334624e-07
-7.454909819639278012e+00 3.861323560552593293e+00 -2.339318110888832791e-07 -7.018057175400826964e-07
-7.434869739478958017e+00 3.856130116964145760e+00 -2.355113767893435295e-07 -7.065550704510314972e-07
-7.414829659318638022e+00 3.850929669396375044e+00 -2.371059156791588407e-07 -7.113267059821737348e-07
-7.394789579158317139e+00 3.845722189435507588e+00 -2.387155758620806978e-07 -7.161555402035446605e-07
-7.374749498997996255e+00 3.840507648475132374e+00 -2.403406096362914468e-07 -7.210362298337713582e-07
-7.354709418837675372e+00 3.835286017714369944e+00 -2.419811545029126876e-07 -7.259476006993281771e-07
-7.334669338677354489e+00 3.830057268156013883e+00 -2.436374096914661891e-07 -7.309190976911850157e-07
-7.314629258517033605e+00 3.824821370604654547e+00 -2.453095967469565153e-07 -7.359496976278023794e-07
-7.294589178356713610e+00 3.819578295664774803e+00 -2.469979166197511233e-07 -7.410061044765825500e-07
-7.274549098196392727e+00 3.814328013738827128e+00 -2.487025039243917490e-07 -7.461133719743884285e-07
-7.254509018036072732e+00 3.809070495025281833e+00 -2.504236326639208698e-07 -7.512896615935460432e-07
-7.234468937875751848e+00 3.803805709516654865e+00 -2.521614919093195795e-07 -7.564970019302563742e-07
-7.214428857715430965e+00 3.798533626997510293e+00 -2.539162556325358366e-07 -7.617513091418004478e-07
-7.194388777555110082e+00 3.793254217042435261e+00 -2.556881612547634575e-07 -7.670773243262374308e-07
-7.174348697394789198e+00 3.787967449013993182e+00 -2.574774563002257821e-07 -7.724488426674724906e-07
-7.154308617234469203e+00 3.782673292060647618e+00 -2.592843101889563684e-07 -7.778613593245609081e-07
-7.134268537074148320e+00 3.777371715114663964e+00 -2.611089626181062329e-07 -7.833428128378727706e-07
-7.114228456913828325e+00 3.772062686889980032e+00 -2.629516663299469315e-07 -7.888679220968697337e-07
-7.094188376753507441e+00 3.766746175880054448e+00 -2.648125949633595155e-07 -7.944445883367734496e-07
-7.074148296593186558e+00 3.761422150355683502e+00 -2.666920286276130980e-07 -8.000934315077756764e-07
-7.054108216432865675e+00 3.756090578362791810e+00 -2.685902047439014950e-07 -8.057924247850678512e-07
-7.034068136272544791e+00 3.750751427720196318e+00 -2.705073462450080513e-07 -8.115365659477902227e-07
-7.014028056112223908e+00 3.745404666017337902e+00 -2.724436817813646883e-07 -8.173369536734753638e-07
-6.993987975951903913e+00 3.740050260611988975e+00 -2.743994713672037733e-07 -8.232095183302590158e-07
-6.973947895791583917e+00 3.734688178627925126e+00 -2.763749946121940582e-07 -8.291386563996638870e-07
-6.953907815631263034e+00 3.729318386952571007e+00 -2.783704731168512581e-07 -8.351255473826313391e-07
-6.933867735470942151e+00 3.723940852234616905e+00 -2.803861956501840780e-07 -8.411760319404493202e-07
-6.913827655310621267e+00 3.718555540881599342e+00 -2.824224063502356330e-07 -8.472831183325979509e-07
-6.893787575150300384e+00 3.713162419057453700e+00 -2.844793803302714252e-07 -8.534494781997636892e-07
-6.873747494989979501e+00 3.707761452680034431e+00 -2.865573751620331677e-07 -8.596887965950372745e-07
-6.853707414829659506e+00 3.702352607418601949e+00 -2.886567123661087919e-07 -8.659835941671190085e-07
-6.833667334669338622e+00 3.696935848691274895e+00 -2.907776048832744209e-07 -8.723497018081616261e-07
-6.813627254509018627e+00 3.691511141662454420e+00 -2.929204274693120169e-07 -8.787791330178151838e-07
-6.793587174348697744e+00 3.686078451240205833e+00 -2.950853758565408214e-07 -8.852691308902649325e-07
-6.773547094188376860e+00 3.680637742073614493e+00 -2.972728238570532255e-07 -8.918420490999778849e-07
-6.753507014028055977e+00 3.675188978550097740e+00 -2.994830399227765838e-07 -8.984629857877735049e-07
-6.733466933867735094e+00 3.669732124792689731e+00 -3.017163019425339598e-07 -9.051643701241118833e-07
-6.713426853707415098e+00 3.664267144657281872e+00 -3.039729815079716957e-07 -9.119343502561605419e-07
-6.693386773547094215e+00 3.658794001729830825e+00 -3.062533286968260882e-07 -9.187683076561370399e-07
-6.673346693386774220e+00 3.653312659323527889e+00 -3.085577090500279951e-07 -9.256861090989332297e-07
-6.653306613226453337e+00 3.647823080475930624e+00 -3.108864394807397957e-07 -9.326820844535177457e-07
-6.633266533066132453e+00 3.642325227946052735e+00 -3.132398767591304534e-07 -9.397419944434659556e-07
-6.613226452905811570e+00 3.636819064211419317e+00 -3.156183027153147691e-07 -9.468679706969851395e-07
-6.593186372745490686e+00 3.631304551465076802e+00 -3.180220886633833288e-07 -9.540891880988056073e-07
-6.573146292585170691e+00 3.625781651612565160e+00 -3.204516130783652272e-07 -9.613737148583823000e-07
-6.553106212424849808e+00 3.620250326268847907e+00 -3.229071586785536851e-07 -9.687363871080378885e-07
-6.533066132264529813e+00 3.614710536755199044e+00 -3.253891578958167941e-07 -9.761875361391503247e-07
