station_id,lat,lon,pressure_dbar,temperature_c,salinity_psu
ST0,-19.7649,41.4093,0,19.524,34.982
ST0,-19.7649,41.4093,10,19.034,34.999
ST0,-19.7649,41.4093,20,18.836,35.02
ST0,-19.7649,41.4093,30,18.286,35.095
ST0,-19.7649,41.4093,40,18.09,35.173
ST0,-19.7649,41.4093,50,17.673,35.251
ST0,-19.7649,41.4093,60,17.211,35.317
ST0,-19.7649,41.4093,70,16.911,35.4
ST0,-19.7649,41.4093,80,16.416,35.455
ST0,-19.7649,41.4093,90,16.216,35.55
ST0,-19.7649,41.4093,100,15.587,35.634
ST0,-19.7649,41.4093,110,15.145,35.674
ST0,-19.7649,41.4093,120,14.865,35.749
ST0,-19.7649,41.4093,130,14.607,35.78
ST0,-19.7649,41.4093,140,14.18,35.771
ST0,-19.7649,41.4093,150,13.72,35.785
ST0,-19.7649,41.4093,160,13.474,35.769
ST0,-19.7649,41.4093,170,12.941,35.791
ST0,-19.7649,41.4093,180,12.815,35.749
ST0,-19.7649,41.4093,190,12.354,35.728
ST0,-19.7649,41.4093,200,11.866,35.643
ST0,-19.7649,41.4093,210,11.645,35.583
ST0,-19.7649,41.4093,220,11.212,35.469
ST0,-19.7649,41.4093,230,10.91,35.443
ST0,-19.7649,41.4093,240,10.658,35.346
ST0,-19.7649,41.4093,250,10.291,35.292
ST0,-19.7649,41.4093,260,10.038,35.213
ST0,-19.7649,41.4093,270,9.756,35.117
ST0,-19.7649,41.4093,280,9.51,35.116
ST0,-19.7649,41.4093,290,9.15,35.033
ST0,-19.7649,41.4093,300,8.982,35.001
ST0,-19.7649,41.4093,310,8.793,34.959
ST0,-19.7649,41.4093,320,8.494,34.93
ST0,-19.7649,41.4093,330,8.164,34.874
ST0,-19.7649,41.4093,340,7.967,34.875
ST0,-19.7649,41.4093,350,7.903,34.839
ST0,-19.7649,41.4093,360,7.625,34.818
ST0,-19.7649,41.4093,370,7.554,34.824
ST0,-19.7649,41.4093,380,7.198,34.843
ST0,-19.7649,41.4093,390,7.19,34.776
ST0,-19.7649,41.4093,400,6.82,34.838
ST0,-19.7649,41.4093,410,6.6,34.839
ST0,-19.7649,41.4093,420,6.449,34.786
ST0,-19.7649,41.4093,430,6.333,34.769
ST0,-19.7649,41.4093,440,6.34,34.821
ST0,-19.7649,41.4093,450,5.966,34.786
ST0,-19.7649,41.4093,460,5.731,34.83
ST0,-19.7649,41.4093,470,5.734,34.816
ST0,-19.7649,41.4093,480,5.779,34.801
ST0,-19.7649,41.4093,490,5.715,34.806
ST0,-19.7649,41.4093,500,5.585,34.782
ST0,-19.7649,41.4093,510,5.365,34.78
ST0,-19.7649,41.4093,520,5.247,34.815
ST0,-19.7649,41.4093,530,5.439,34.77
ST0,-19.7649,41.4093,540,5.102,34.809
ST0,-19.7649,41.4093,550,5.235,34.82
ST0,-19.7649,41.4093,560,5.272,34.812
ST0,-19.7649,41.4093,570,4.969,34.789
ST0,-19.7649,41.4093,580,4.864,34.796
ST0,-19.7649,41.4093,590,4.898,34.797
ST0,-19.7649,41.4093,600,4.78,34.785
ST0,-19.7649,41.4093,610,4.826,34.799
ST0,-19.7649,41.4093,620,4.698,34.814
ST0,-19.7649,41.4093,630,4.67,34.766
ST0,-19.7649,41.4093,640,4.508,34.767
ST0,-19.7649,41.4093,650,4.766,34.785
ST0,-19.7649,41.4093,660,4.554,34.801
ST0,-19.7649,41.4093,670,4.4,34.81
ST0,-19.7649,41.4093,680,4.592,34.795
ST0,-19.7649,41.4093,690,4.495,34.818
ST0,-19.7649,41.4093,700,4.496,34.794
ST0,-19.7649,41.4093,710,4.424,34.808
ST0,-19.7649,41.4093,720,4.553,34.773
ST0,-19.7649,41.4093,730,4.423,34.801
ST0,-19.7649,41.4093,740,4.168,34.801
ST0,-19.7649,41.4093,750,4.274,34.81
ST0,-19.7649,41.4093,760,4.251,34.767
ST0,-19.7649,41.4093,770,4.113,34.833
ST0,-19.7649,41.4093,780,4.259,34.818
ST0,-19.7649,41.4093,790,4.178,34.801
ST0,-19.7649,41.4093,800,4.198,34.738
ST0,-19.7649,41.4093,810,4.171,34.808
ST0,-19.7649,41.4093,820,4.22,34.791
ST0,-19.7649,41.4093,830,4.178,34.786
ST0,-19.7649,41.4093,840,4.188,34.825
ST0,-19.7649,41.4093,850,4.284,34.775
ST0,-19.7649,41.4093,860,4.079,34.799
ST0,-19.7649,41.4093,870,4.24,34.805
ST0,-19.7649,41.4093,880,3.994,34.82
ST0,-19.7649,41.4093,890,4.02,34.784
ST0,-19.7649,41.4093,900,4.123,34.819
ST0,-19.7649,41.4093,910,4.185,34.778
ST0,-19.7649,41.4093,920,4.26,34.76
ST0,-19.7649,41.4093,930,4.045,34.824
ST0,-19.7649,41.4093,940,4.186,34.794
ST0,-19.7649,41.4093,950,4.08,34.768
ST0,-19.7649,41.4093,960,4.12,34.82
ST0,-19.7649,41.4093,970,4.24,34.805
ST0,-19.7649,41.4093,980,4.124,34.799
ST0,-19.7649,41.4093,990,4.187,34.802
ST0,-19.7649,41.4093,1000,4.05,34.812
ST0,-19.7649,41.4093,1010,4.094,34.805
ST0,-19.7649,41.4093,1020,4.06,34.802
ST0,-19.7649,41.4093,1030,4.095,34.791
ST0,-19.7649,41.4093,1040,4.047,34.794
ST0,-19.7649,41.4093,1050,4.086,34.817
ST0,-19.7649,41.4093,1060,4.105,34.786
ST0,-19.7649,41.4093,1070,4.143,34.79
ST0,-19.7649,41.4093,1080,3.904,34.782
ST0,-19.7649,41.4093,1090,4.108,34.802
ST0,-19.7649,41.4093,1100,4.098,34.803
ST0,-19.7649,41.4093,1110,4.09,34.796
ST0,-19.7649,41.4093,1120,3.932,34.815
ST0,-19.7649,41.4093,1130,4.059,34.835
ST0,-19.7649,41.4093,1140,3.963,34.783
ST0,-19.7649,41.4093,1150,4.242,34.812
ST0,-19.7649,41.4093,1160,4.273,34.822
ST0,-19.7649,41.4093,1170,4.088,34.762
ST0,-19.7649,41.4093,1180,4.073,34.772
ST0,-19.7649,41.4093,1190,4.14,34.81
ST0,-19.7649,41.4093,1200,3.914,34.8
ST0,-19.7649,41.4093,1210,3.936,34.786
ST0,-19.7649,41.4093,1220,4.03,34.778
ST0,-19.7649,41.4093,1230,4.082,34.769
ST0,-19.7649,41.4093,1240,4.081,34.772
ST0,-19.7649,41.4093,1250,4.215,34.774
ST0,-19.7649,41.4093,1260,4.021,34.806
ST0,-19.7649,41.4093,1270,3.98,34.767
ST0,-19.7649,41.4093,1280,3.889,34.807
ST0,-19.7649,41.4093,1290,3.949,34.792
ST0,-19.7649,41.4093,1300,3.833,34.843
ST0,-19.7649,41.4093,1310,4.027,34.789
ST0,-19.7649,41.4093,1320,4.081,34.766
ST0,-19.7649,41.4093,1330,3.982,34.798
ST0,-19.7649,41.4093,1340,3.967,34.837
ST0,-19.7649,41.4093,1350,4.235,34.796
ST0,-19.7649,41.4093,1360,3.822,34.806
ST0,-19.7649,41.4093,1370,3.903,34.823
ST0,-19.7649,41.4093,1380,3.773,34.774
ST0,-19.7649,41.4093,1390,4.091,34.812
ST0,-19.7649,41.4093,1400,3.914,34.79
ST0,-19.7649,41.4093,1410,3.912,34.788
ST0,-19.7649,41.4093,1420,4.153,34.782
ST0,-19.7649,41.4093,1430,4.007,34.776
ST0,-19.7649,41.4093,1440,4.033,34.855
ST0,-19.7649,41.4093,1450,3.996,34.828
ST0,-19.7649,41.4093,1460,4.113,34.782
ST0,-19.7649,41.4093,1470,3.871,34.823
ST0,-19.7649,41.4093,1480,3.933,34.771
ST0,-19.7649,41.4093,1490,4.013,34.787
ST0,-19.7649,41.4093,1500,4.027,34.831
ST0,-19.7649,41.4093,1510,4.222,34.78
ST0,-19.7649,41.4093,1520,3.824,34.822
ST0,-19.7649,41.4093,1530,3.977,34.799
ST0,-19.7649,41.4093,1540,4.068,34.84
ST0,-19.7649,41.4093,1550,3.993,34.793
ST0,-19.7649,41.4093,1560,4.185,34.801
ST0,-19.7649,41.4093,1570,4.057,34.822
ST0,-19.7649,41.4093,1580,4.103,34.811
ST0,-19.7649,41.4093,1590,3.768,34.81
ST0,-19.7649,41.4093,1600,3.982,34.781
ST0,-19.7649,41.4093,1610,3.985,34.801
ST0,-19.7649,41.4093,1620,3.882,34.827
ST0,-19.7649,41.4093,1630,4.134,34.803
ST0,-19.7649,41.4093,1640,3.964,34.792
ST0,-19.7649,41.4093,1650,4.253,34.838
ST0,-19.7649,41.4093,1660,3.999,34.811
ST0,-19.7649,41.4093,1670,4.004,34.814
ST0,-19.7649,41.4093,1680,4.091,34.852
ST0,-19.7649,41.4093,1690,3.851,34.801
ST0,-19.7649,41.4093,1700,4.054,34.791
ST0,-19.7649,41.4093,1710,4.118,34.789
ST0,-19.7649,41.4093,1720,4.048,34.779
ST0,-19.7649,41.4093,1730,3.977,34.787
ST0,-19.7649,41.4093,1740,4.084,34.803
ST0,-19.7649,41.4093,1750,3.952,34.822
ST0,-19.7649,41.4093,1760,3.932,34.766
ST0,-19.7649,41.4093,1770,3.834,34.842
ST0,-19.7649,41.4093,1780,3.978,34.788
ST0,-19.7649,41.4093,1790,4.004,34.779
ST0,-19.7649,41.4093,1800,4.081,34.806
ST0,-19.7649,41.4093,1810,4.047,34.787
ST0,-19.7649,41.4093,1820,3.973,34.781
ST0,-19.7649,41.4093,1830,3.926,34.77
ST0,-19.7649,41.4093,1840,4.12,34.78
ST0,-19.7649,41.4093,1850,4.082,34.787
ST0,-19.7649,41.4093,1860,4.107,34.864
ST0,-19.7649,41.4093,1870,3.918,34.807
ST0,-19.7649,41.4093,1880,4.096,34.827
ST0,-19.7649,41.4093,1890,4.151,34.805
ST0,-19.7649,41.4093,1900,4.181,34.781
ST0,-19.7649,41.4093,1910,4.038,34.8
ST0,-19.7649,41.4093,1920,4.132,34.792
ST0,-19.7649,41.4093,1930,4.117,34.754
ST0,-19.7649,41.4093,1940,3.967,34.788
ST0,-19.7649,41.4093,1950,3.946,34.805
ST0,-19.7649,41.4093,1960,3.881,34.823
ST0,-19.7649,41.4093,1970,4.042,34.772
ST0,-19.7649,41.4093,1980,4.261,34.796
ST0,-19.7649,41.4093,1990,4.1,34.79
ST1,-19.9328,40.9874,0,19.161,34.984
ST1,-19.9328,40.9874,10,18.789,35.018
ST1,-19.9328,40.9874,20,18.545,35.104
ST1,-19.9328,40.9874,30,18.27,35.166
ST1,-19.9328,40.9874,40,17.765,35.182
ST1,-19.9328,40.9874,50,17.445,35.259
ST1,-19.9328,40.9874,60,17.144,35.33
ST1,-19.9328,40.9874,70,16.605,35.375
ST1,-19.9328,40.9874,80,16.117,35.476
ST1,-19.9328,40.9874,90,15.857,35.553
ST1,-19.9328,40.9874,100,15.569,35.598
ST1,-19.9328,40.9874,110,15.115,35.667
ST1,-19.9328,40.9874,120,14.68,35.708
ST1,-19.9328,40.9874,130,14.503,35.739
ST1,-19.9328,40.9874,140,13.958,35.786
ST1,-19.9328,40.9874,150,13.576,35.793
ST1,-19.9328,40.9874,160,13.108,35.745
ST1,-19.9328,40.9874,170,12.945,35.747
ST1,-19.9328,40.9874,180,12.617,35.657
ST1,-19.9328,40.9874,190,12.343,35.672
ST1,-19.9328,40.9874,200,11.85,35.609
ST1,-19.9328,40.9874,210,11.572,35.564
ST1,-19.9328,40.9874,220,11.249,35.474
ST1,-19.9328,40.9874,230,10.978,35.407
ST1,-19.9328,40.9874,240,10.478,35.331
ST1,-19.9328,40.9874,250,10.202,35.275
ST1,-19.9328,40.9874,260,10.096,35.212
ST1,-19.9328,40.9874,270,9.689,35.15
