island_id,area_km2,species_richness,log_area,log_richness
0,1.983,14,0.2973227142053027,1.146128035678238
1,2.247,16,0.3516030724191289,1.2041199826559248
2,3.661,21,0.5635997288815311,1.3222192947339193
3,2.002,33,0.3014640731432998,1.5185139398778875
4,1.38,15,0.13987908640123647,1.1760912590556813
5,4.937,18,0.6934631272195312,1.255272505103306
6,4.211,19,0.6243852414202651,1.2787536009528289
7,0.57,13,-0.24412514432750865,1.1139433523068367
8,1.345,16,0.12872228433842678,1.2041199826559248
9,4.779,19,0.679337030520794,1.2787536009528289
10,1.227,14,0.08884456272700428,1.146128035678238
11,3.765,17,0.5757649805367194,1.2304489213782739
12,4.57,21,0.6599162000698503,1.3222192947339193
13,2.707,14,0.43248825577050637,1.146128035678238
14,3.301,19,0.5186455243303115,1.2787536009528289
15,3.542,16,0.5492485568540559,1.2041199826559248
16,3.245,17,0.511214701136388,1.2304489213782739
17,3.546,43,0.549738731264899,1.6334684555795864
18,0.75,11,-0.12493873660829995,1.0413926851582251
19,3.355,17,0.5256925245050109,1.2304489213782739
20,5.132,19,0.7102866477028908,1.2787536009528289
21,5.324,20,0.7262380468026375,1.3010299956639813
22,3.898,16,0.5908418347816027,1.2041199826559248
23,2.608,16,0.4163075870598826,1.2041199826559248
24,2.369,19,0.37456506072276513,1.2787536009528289
