time,quarter,inflation_yoy,reit_index_return
2000-03-31,0,2.162,0.4107
2000-06-30,1,1.609,0.2674
2000-09-30,2,1.968,0.2733
2000-12-31,3,2.185,0.2863
2001-03-31,4,2.824,0.5403
2001-06-30,5,2.266,0.3635
2001-09-30,6,1.785,0.304
2001-12-31,7,1.899,0.3426
2002-03-31,8,1.444,0.3299
2002-06-30,9,1.976,0.2702
2002-09-30,10,1.89,0.2372
2002-12-31,11,2.632,0.4424
2003-03-31,12,3.177,0.4789
2003-06-30,13,3.416,0.5387
2003-09-30,14,2.732,0.5204
2003-12-31,15,1.487,0.2041
2004-03-31,16,2.023,0.2728
2004-06-30,17,2.768,0.4158
2004-09-30,18,2.678,0.4088
2004-12-31,19,2.987,0.4664
2005-03-31,20,2.402,0.3918
2005-06-30,21,1.103,0.1606
2005-09-30,22,2.843,0.452
2005-12-31,23,2.69,0.4632
2006-03-31,24,0.996,0.2229
2006-06-30,25,3.577,0.623
2006-09-30,26,3.081,0.4944
2006-12-31,27,4.177,0.6434
2007-03-31,28,2.477,0.375
2007-06-30,29,1.681,0.2877
2007-09-30,30,1.167,0.2273
2007-12-31,31,2.585,0.3924
2008-03-31,32,2.326,0.2948
2008-06-30,33,3.196,0.5097
2008-09-30,34,2.371,0.3636
2008-12-31,35,0.654,0.1424
2009-03-31,36,2.992,0.5838
2009-06-30,37,2.272,0.3149
2009-09-30,38,2.17,0.3302
2009-12-31,39,1.72,0.2863
