feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
-0.6394,0.7453,0.4738,0.5274,0.3099,0.3938,0.1028,-1.0052,1.2148,0.5448,0.3208,0.8426,-0.1264,0.2396,-2.9157,-1.2651,0.0819,0.1208,-0.0146,-1.197,-1.7522,-0.3756,-0.9418,-0.2355,0.3967,0.557,-0.1665,1.3393,-0.1147,0.2924,1.062,-0.6331,2
0.8622,-1.2814,-0.5592,-1.0385,0.8415,0.2174,-1.7707,0.5141,-2.1017,1.9917,-0.0356,1.3282,1.7148,-0.5926,-0.2908,-0.4221,0.6423,0.2766,-1.0867,0.9718,-0.9558,0.8989,-0.832,-0.0266,0.1954,-0.2729,-0.8193,-1.1346,-0.429,-0.3327,0.5223,1.9922,1
1.2924,0.5082,-0.0097,0.6281,0.0618,0.3444,-0.9492,0.5911,1.1524,-1.0699,0.0477,0.6434,0.0728,-1.4367,0.8924,-0.63,0.116,-1.5476,-0.8584,0.8312,1.3798,-0.1126,-1.4993,-0.2281,0.1044,0.5824,-1.0065,1.9987,0.7486,-0.51,1.0978,-0.1372,1
0.51,2.2302,0.4896,-0.624,-0.5643,2.1789,0.2804,1.0192,0.5491,0.2035,-1.7864,-1.128,0.2833,-0.302,0.8726,0.2032,-1.7072,-0.8306,-0.3218,0.3423,0.2001,-1.4213,0.1824,2.7331,-0.6276,-0.2074,0.643,-0.781,1.4872,-0.4698,1.0679,-0.4077,2
0.817,0.1625,0.18,-1.9821,0.8783,1.4389,0.3911,-0.3349,1.7382,-0.246,-1.542,-1.5375,1.4484,-0.6824,-0.3698,-0.6105,0.5481,0.1398,-1.6486,-0.1708,-0.3368,0.1762,0.2639,0.222,-1.0277,-0.9729,-0.5856,-1.55,0.2886,0.2926,-2.8527,0.2785,2
-3.0437,0.6034,0.3375,-0.6958,0.3137,0.352,0.5824,0.0578,0.2338,-0.2616,-1.1162,0.703,1.2205,1.1756,-0.3845,0.8886,0.5225,-1.4562,2.6405,-1.4065,0.6605,0.2534,-0.9405,-1.7342,-0.5546,-1.2718,0.5675,0.4834,-1.0921,0.5611,1.1746,-0.1186,0
0.1004,-1.9661,0.7646,0.9038,0.1483,-0.3165,0.682,0.6003,-1.5037,1.0813,0.0285,1.514,0.8484,0.0445,0.5674,0.8097,0.1609,0.7073,-0.3142,0.9629,-0.7021,0.8414,1.3841,1.2617,0.9979,-0.3186,0.4464,-0.0422,0.3513,-1.9895,-1.043,0.6319,1
-0.4258,-0.6855,-0.9985,-0.2851,1.0929,-0.1407,0.4563,-1.4416,-2.3894,-1.394,-2.6403,0.7449,-2.4204,0.9932,0.7663,-1.1423,0.9856,-0.2931,-0.3541,1.2926,-0.1155,0.5535,0.2254,-0.0342,0.2629,0.0541,0.4388,0.1069,0.633,-1.3353,0.1769,1.2112,2
-1.0326,-0.2733,0.2299,0.0067,0.0521,-0.9343,-0.1882,1.5605,-1.4527,-0.8612,0.8014,-1.0045,-1.1531,-1.7959,0.2188,-0.6366,1.2736,-0.2272,0.0037,0.4876,0.8022,1.7216,0.3714,-0.0696,0.7497,-0.7781,-0.8057,-1.5169,-1.2553,-0.0072,-0.4896,1.2661,2
0.4152,0.605,0.331,1.4964,-0.8298,0.1094,0.3165,0.4013,1.159,-0.6169,1.2534,2.3397,-2.2357,-0.543,0.6549,0.502,1.0571,-0.5792,1.4718,1.0064,-1.8498,-0.0717,-1.0053,-0.4225,0.2408,-0.5931,1.1416,0.6612,-0.5354,0.1873,2.0296,1.1547,1
0.7369,0.4225,0.7753,-1.1856,-0.0765,0.2816,-0.4224,0.8195,1.6224,-0.4201,-1.3076,-0.905,1.3598,1.1595,-1.2266,0.8061,0.006,0.2828,1.0849,-0.7822,0.3282,1.0391,0.5638,-0.6951,-0.8228,-0.9736,-1.6072,2.3479,1.0438,0.5565,1.0068,0.7317,2
0.8069,-0.7104,1.0506,0.676,-0.1572,2.0616,-0.2493,-1.3098,-0.3455,1.1799,1.7511,0.4101,-1.461,-1.197,-0.604,-0.5406,-1.0324,-0.7305,-0.6549,0.5207,-0.0956,0.669,-0.7371,1.5408,-0.3988,1.0858,0.6362,0.7068,0.6283,-0.8581,0.5568,-0.6604,3
1.4354,0.0529,-0.1961,0.9172,-1.4388,-0.8902,1.2742,-1.1364,1.2313,1.2123,-0.5134,-0.1366,0.0852,-0.5658,0.7214,0.8974,-0.1997,-0.6155,0.2027,-0.0565,-1.9964,-0.3446,1.2639,0.4921,1.325,0.8307,-1.7172,0.2752,1.8992,0.4826,1.1192,0.4787,2
0.0627,0.6557,0.0223,-0.3244,-0.4088,1.7336,-0.058,-0.2321,-0.0849,-0.0529,-0.2005,-0.4196,0.0699,-2.2472,-0.7298,1.5786,0.7348,-0.0022,0.164,-0.4275,1.0743,-0.4289,-1.0426,-0.2381,1.5842,0.6674,0.1714,0.6244,0.2571,0.5386,1.6033,0.4434,3
0.3404,0.0798,2.0136,-0.117,0.3128,-0.5556,0.3454,0.3174,1.829,-0.5904,-0.0173,0.2248,0.211,-1.1291,2.2802,0.0935,0.2997,-0.0095,0.1032,-1.4084,-0.3731,0.0479,-1.7567,1.059,-0.0684,-0.7306,0.9201,-0.0672,-0.0372,-0.2606,-1.4182,0.3332,2
-0.8612,-2.6452,-0.8499,-0.7232,-0.9946,-0.2333,-0.7341,-1.5528,2.739,0.02,1.0182,-1.3011,-0.6288,0.5959,0.0066,1.756,1.1698,-0.044,-2.4987,1.8455,0.1776,-1.122,-0.3988,-0.5946,-1.2812,0.0962,-2.3569,-1.1473,0.0702,0.1836,0.9337,-0.5038,0
-0.4091,-0.9077,-0.4577,1.1409,-1.351,0.5922,-1.2075,0.4159,0.894,0.6337,-0.3748,-0.3919,-1.0001,0.3063,1.0858,-0.3497,-0.3353,0.001,-0.7746,-0.9836,0.1885,-0.0994,0.3835,-0.4359,0.4136,2.8396,-0.8822,-1.6274,0.3887,0.037,-1.2299,-1.4042,1
-0.2413,-0.6326,-1.4371,0.4978,0.1374,-0.2607,-0.5243,0.6895,0.9495,0.9126,0.5124,-1.1476,-0.0487,2.1042,-0.2324,0.1151,0.2232,-0.297,-0.8323,0.2802,0.2105,-1.1356,-2.9908,-0.0769,0.5833,1.4016,-1.446,0.6695,1.0306,-0.1575,1.5826,2.6931,1
-0.2478,-1.3126,0.9327,-0.1154,0.4436,-0.1132,-0.3417,0.0272,-1.0497,0.3303,1.8041,-1.2016,-1.7891,1.1263,1.4785,0.048,-1.1894,-0.196,2.0316,2.1029,-0.848,-0.8112,1.0307,0.7695,-0.1355,0.6126,1.063,-1.6509,-0.0516,0.6953,0.3539,0.8415,2
0.9438,0.1552,0.5848,0.2164,0.1357,0.5684,0.0351,-0.5924,-1.5734,-1.2721,0.9645,0.0807,-0.1516,-0.827,-1.3184,-0.3484,-0.0834,-0.0994,-0.4719,-0.9632,-0.4448,1.0177,0.2517,-0.8442,0.4753,-2.2266,-0.9167,1.5665,0.2933,-2.4343,-1.2029,0.3411,1
-0.5935,-1.1698,0.7714,2.0027,2.1946,-0.9971,-0.0576,-0.2544,-0.6671,-0.3849,-0.2476,0.6173,-0.4646,0.9973,0.5601,0.4698,0.9937,0.3401,0.4238,-0.7848,-0.0242,0.6955,0.8293,-0.3537,0.8547,0.7592,0.7647,-0.9542,-2.1407,0.7204,0.4354,1.1688,0
1.0327,-0.3634,0.8118,-1.451,-0.2122,-1.3483,-1.3718,0.8263,-0.6758,-0.6693,-0.1262,-0.4972,1.1032,-0.1728,-0.4508,-0.8157,-0.5845,-0.0377,-1.294,-0.3254,0.9699,-0.8741,0.6658,-1.8043,-0.9559,1.3067,-0.7373,-0.4748,0.7432,0.6661,0.3817,-1.5678,1
0.0609,0.8303,1.3955,-1.4481,1.7926,0.4816,-0.3573,1.1718,-0.2299,-0.5264,0.2422,-2.0251,1.9748,-1.5371,0.9067,-1.7106,-0.1611,-1.5879,1.3354,-0.3997,0.4963,-1.1968,-0.5629,-1.4866,0.2043,1.2296,0.5062,-0.4884,2.2957,-0.9545,-1.0299,0.6664,2
0.6926,-0.0555,0.2118,1.8344,-0.4735,0.4943,0.0213,-0.0768,-0.4724,1.6524,0.7885,0.2393,0.6245,0.2329,0.831,0.4544,0.7725,1.4621,-0.5956,0.8925,0.6738,0.8793,-0.9383,-0.2108,0.0705,0.3631,0.0481,-1.3299,-0.7274,0.9718,1.4196,1.0931,1
1.0083,-2.5575,0.2981,-0.4837,-0.1929,-2.1342,-0.3253,0.4651,-0.8509,0.6243,-0.055,1.6476,-0.2511,2.3551,0.2865,1.3439,0.3448,-0.1604,1.3017,1.2398,0.3754,-0.1087,-2.2694,0.9401,0.5185,0.4322,1.7383,-0.631,-0.9004,0.6241,0.8713,0.4805,2
-0.349,-0.2093,-0.8195,0.4162,0.8534,2.2488,0.3819,0.0382,-0.3212,0.3379,-0.6026,-2.4221,1.0468,-0.8437,-0.732,-0.1661,0.7395,1.0704,-0.1437,-0.1424,0.6607,0.1189,-0.5974,-0.1923,-1.2777,1.3088,0.5862,-0.4241,0.1744,0.2038,-0.6997,-1.2217,1
1.7031,0.3554,-0.8832,-0.4579,1.1305,-0.7282,1.4494,-0.8628,-0.0783,0.3383,-0.8932,-0.5137,1.2394,-0.3614,0.8852,-0.3108,1.5002,-1.8542,0.52,1.0898,2.4216,0.8413,-0.2597,-1.4309,0.3001,0.1752,0.8,0.4261,-0.5784,1.1303,0.5534,1.6349,2
1.6515,1.0749,0.8696,-0.7156,-1.7019,-0.8431,0.6726,0.9062,0.759,1.0874,0.7771,1.2077,-0.3553,-0.8416,-1.438,0.9022,0.8617,0.3769,0.6308,-3.6298,-0.9937,0.7872,-0.7876,-0.3949,1.9028,0.3046,0.1234,-0.1613,1.6738,-0.0611,-0.3508,-0.5654,3
