timestamp_utc,asset_id,zone,vibration_rms_mm_s,peak_accel_g,bearing_temp_c,rpm,load_pct,quality_flag
2023-01-01 00:00:00,Pump_A,Drive_End,2.679,4.779,46.96,1498.6,82.5,OK
2023-01-01 01:00:00,Pump_A,Drive_End,2.483,3.49,46.52,1515.8,78.8,OK
2023-01-01 02:00:00,Pump_A,Drive_End,2.309,2.507,43.59,1495.3,77.7,OK
2023-01-01 03:00:00,Pump_A,Drive_End,2.294,2.987,43.76,1489.9,77.2,OK
2023-01-01 04:00:00,Pump_A,Drive_End,2.853,3.567,48.05,1497.7,87.3,OK
2023-01-01 05:00:00,Pump_A,Drive_End,2.508,3.462,46.09,1488.5,80.6,OK
2023-01-01 06:00:00,Pump_A,Drive_End,2.217,2.796,45.76,1518.5,77.0,OK
2023-01-01 07:00:00,Pump_A,Drive_End,1.642,1.799,43.08,1502.1,73.9,OK
2023-01-01 08:00:00,Pump_A,Drive_End,2.598,3.747,45.76,1501.7,83.7,OK
2023-01-01 09:00:00,Pump_A,Drive_End,2.395,3.765,43.51,1495.4,76.4,OK
2023-01-01 10:00:00,Pump_A,Drive_End,2.362,3.849,47.26,1496.1,81.6,OK
2023-01-01 11:00:00,Pump_A,Drive_End,2.618,4.092,48.45,1491.6,84.7,OK
2023-01-01 12:00:00,Pump_A,Drive_End,2.035,2.454,45.42,1498.1,77.6,OK
2023-01-01 13:00:00,Pump_A,Drive_End,3.008,4.692,48.23,1499.3,86.8,OK
2023-01-01 14:00:00,Pump_A,Drive_End,2.501,4.534,43.99,1515.4,81.8,OK
2023-01-01 15:00:00,Pump_A,Drive_End,2.587,3.926,45.3,1500.9,84.1,OK
2023-01-01 16:00:00,Pump_A,Drive_End,2.63,3.685,45.55,1503.6,78.9,OK
2023-01-01 17:00:00,Pump_A,Drive_End,2.315,3.208,45.8,1509.2,77.5,OK
2023-01-01 18:00:00,Pump_A,Drive_End,2.289,3.269,45.43,1509.7,80.5,OK
2023-01-01 19:00:00,Pump_A,Drive_End,2.013,3.022,43.33,1503.0,72.7,OK
2023-01-01 20:00:00,Pump_A,Drive_End,1.907,2.459,43.19,1495.8,72.9,OK
2023-01-01 21:00:00,Pump_A,Drive_End,2.556,3.963,46.72,1518.9,82.0,OK
2023-01-01 22:00:00,Pump_A,Drive_End,1.836,3.986,42.48,1499.7,70.4,OK
2023-01-01 23:00:00,Pump_A,Drive_End,2.257,3.957,46.7,1499.7,81.5,OK
2023-01-02 00:00:00,Pump_A,Drive_End,2.918,3.676,48.67,1490.9,84.0,OK
2023-01-02 01:00:00,Pump_A,Drive_End,2.944,4.466,49.05,1490.1,91.0,OK
2023-01-02 02:00:00,Pump_A,Drive_End,1.722,2.82,41.84,1500.7,72.2,OK
2023-01-02 03:00:00,Pump_A,Drive_End,2.801,4.608,47.32,1492.2,87.7,OK
2023-01-02 04:00:00,Pump_A,Drive_End,2.147,3.312,45.85,1513.1,81.1,OK
2023-01-02 05:00:00,Pump_A,Drive_End,2.37,3.817,47.0,1487.6,83.9,OK
2023-01-02 06:00:00,Pump_A,Drive_End,2.339,3.625,46.39,1503.5,81.3,OK
2023-01-02 07:00:00,Pump_A,Drive_End,2.28,2.825,45.64,1518.7,76.4,OK
2023-01-02 08:00:00,Pump_A,Drive_End,2.339,3.099,45.84,1507.9,75.1,OK
2023-01-02 09:00:00,Pump_A,Drive_End,2.903,4.232,46.92,1508.2,82.1,OK
2023-01-02 10:00:00,Pump_A,Drive_End,2.118,3.347,44.68,1491.8,75.6,OK
2023-01-02 11:00:00,Pump_A,Drive_End,2.939,4.276,50.89,1500.1,84.1,OK
2023-01-02 12:00:00,Pump_A,Drive_End,2.374,3.802,46.34,1491.4,83.1,OK
2023-01-02 13:00:00,Pump_A,Drive_End,2.6,3.476,45.7,1504.7,83.6,OK
2023-01-02 14:00:00,Pump_A,Drive_End,2.309,2.84,45.5,1508.6,77.8,OK
2023-01-02 15:00:00,Pump_A,Drive_End,2.546,3.849,45.61,1491.2,81.9,OK
2023-01-02 16:00:00,Pump_A,Drive_End,2.724,4.613,45.79,1505.6,81.8,OK
2023-01-02 17:00:00,Pump_A,Drive_End,2.221,3.59,48.47,1505.2,75.3,OK
2023-01-02 18:00:00,Pump_A,Drive_End,2.762,4.469,47.16,1511.4,82.9,OK
2023-01-02 19:00:00,Pump_A,Drive_End,2.58,3.628,47.29,1492.3,83.8,OK
2023-01-02 20:00:00,Pump_A,Drive_End,3.232,4.041,49.92,1481.3,91.6,OK
2023-01-02 21:00:00,Pump_A,Drive_End,2.511,3.409,48.05,1500.6,85.4,OK
2023-01-02 22:00:00,Pump_A,Drive_End,2.19,2.959,46.89,1502.2,76.3,OK
2023-01-02 23:00:00,Pump_A,Drive_End,2.627,3.61,48.06,1479.7,83.2,OK
2023-01-03 00:00:00,Pump_A,Drive_End,2.263,3.828,43.67,1498.9,76.0,OK
2023-01-03 01:00:00,Pump_A,Drive_End,2.169,4.136,45.49,1495.3,78.3,OK
2023-01-03 02:00:00,Pump_A,Drive_End,2.446,4.185,43.34,1509.2,73.7,OK
2023-01-03 03:00:00,Pump_A,Drive_End,2.113,3.392,45.57,1512.7,77.6,OK
2023-01-03 04:00:00,Pump_A,Drive_End,1.474,1.698,42.5,1499.4,75.4,OK
2023-01-03 05:00:00,Pump_A,Drive_End,1.74,2.389,43.23,1516.3,73.8,OK
2023-01-03 06:00:00,Pump_A,Drive_End,3.065,4.603,48.12,1485.6,87.2,OK
2023-01-03 07:00:00,Pump_A,Drive_End,2.419,3.663,46.12,1502.0,82.3,OK
2023-01-03 08:00:00,Pump_A,Drive_End,2.751,3.508,49.12,1506.6,80.6,OK
2023-01-03 09:00:00,Pump_A,Drive_End,1.932,3.039,42.26,1498.5,70.2,OK
2023-01-03 10:00:00,Pump_A,Drive_End,2.22,3.754,45.7,1495.1,79.0,OK
2023-01-03 11:00:00,Pump_A,Drive_End,2.254,3.787,45.57,1509.0,76.5,OK
2023-01-03 12:00:00,Pump_A,Drive_End,2.301,3.756,44.9,1494.4,75.9,OK
2023-01-03 13:00:00,Pump_A,Drive_End,2.317,3.749,45.71,1512.8,80.6,OK
2023-01-03 14:00:00,Pump_A,Drive_End,2.5,4.156,47.34,1511.0,78.9,OK
2023-01-03 15:00:00,Pump_A,Drive_End,2.344,3.678,45.75,1506.8,80.1,OK
2023-01-03 16:00:00,Pump_A,Drive_End,2.265,4.444,44.75,1506.0,80.5,OK
2023-01-03 17:00:00,Pump_A,Drive_End,2.194,3.603,44.9,1511.6,73.9,OK
2023-01-03 18:00:00,Pump_A,Drive_End,2.411,3.279,46.99,1491.0,79.9,OK
2023-01-03 19:00:00,Pump_A,Drive_End,2.292,3.644,45.02,1491.7,79.3,OK
2023-01-03 20:00:00,Pump_A,Drive_End,2.202,3.05,44.21,1502.4,75.9,OK
2023-01-03 21:00:00,Pump_A,Drive_End,2.188,2.923,45.49,1485.5,81.2,OK
2023-01-03 22:00:00,Pump_A,Drive_End,2.665,3.917,46.95,1514.8,81.6,OK
2023-01-03 23:00:00,Pump_A,Drive_End,2.042,3.224,43.27,1499.8,75.0,OK
2023-01-04 00:00:00,Pump_A,Drive_End,2.534,4.002,47.54,1515.3,82.6,OK
2023-01-04 01:00:00,Pump_A,Drive_End,2.282,3.472,44.53,1502.2,78.0,OK
2023-01-04 02:00:00,Pump_A,Drive_End,2.698,4.526,48.92,1505.0,80.1,OK
2023-01-04 03:00:00,Pump_A,Drive_End,2.206,4.405,43.94,1508.7,76.2,OK
2023-01-04 04:00:00,Pump_A,Drive_End,1.723,2.322,42.71,1494.0,75.8,OK
2023-01-04 05:00:00,Pump_A,Drive_End,2.82,4.706,46.62,1503.4,80.8,OK
2023-01-04 06:00:00,Pump_A,Drive_End,1.866,3.715,44.95,1504.9,75.5,OK
2023-01-04 07:00:00,Pump_A,Drive_End,2.53,3.738,47.09,1482.9,77.7,OK
2023-01-04 08:00:00,Pump_A,Drive_End,1.923,2.908,42.76,1494.0,72.0,OK
2023-01-04 09:00:00,Pump_A,Drive_End,2.558,3.898,47.53,1489.3,83.1,OK
2023-01-04 10:00:00,Pump_A,Drive_End,2.307,4.099,46.81,1488.8,83.6,OK
2023-01-04 11:00:00,Pump_A,Drive_End,2.199,3.888,44.82,1515.5,76.3,OK
2023-01-04 12:00:00,Pump_A,Drive_End,2.968,4.938,50.13,1517.6,90.3,OK
2023-01-04 13:00:00,Pump_A,Drive_End,2.948,4.951,46.98,1490.4,86.8,OK
2023-01-04 14:00:00,Pump_A,Drive_End,1.991,3.345,45.3,1479.6,74.1,OK
2023-01-04 15:00:00,Pump_A,Drive_End,2.146,2.368,45.38,1516.3,80.4,OK
2023-01-04 16:00:00,Pump_A,Drive_End,2.102,3.108,44.33,1499.7,81.9,OK
2023-01-04 17:00:00,Pump_A,Drive_End,2.413,3.362,45.64,1503.7,83.3,OK
2023-01-04 18:00:00,Pump_A,Drive_End,2.184,3.528,44.87,1509.6,79.7,OK
2023-01-04 19:00:00,Pump_A,Drive_End,1.955,2.656,42.9,1498.9,76.0,OK
2023-01-04 20:00:00,Pump_A,Drive_End,2.849,4.381,48.98,1500.4,89.8,OK
2023-01-04 21:00:00,Pump_A,Drive_End,2.485,3.463,45.42,1506.1,78.9,OK
2023-01-04 22:00:00,Pump_A,Drive_End,2.014,3.705,46.41,1477.0,78.6,OK
2023-01-04 23:00:00,Pump_A,Drive_End,2.388,5.121,46.84,1505.8,78.8,OK
2023-01-05 00:00:00,Pump_A,Drive_End,2.04,3.162,44.22,1490.4,79.4,OK
2023-01-05 01:00:00,Pump_A,Drive_End,1.757,3.479,43.85,1493.5,72.9,OK
2023-01-05 02:00:00,Pump_A,Drive_End,2.413,3.189,47.55,1514.8,80.0,OK
2023-01-05 03:00:00,Pump_A,Drive_End,2.524,3.348,45.47,1489.6,82.7,OK
2023-01-05 04:00:00,Pump_A,Drive_End,2.398,3.879,46.27,1519.1,84.6,OK
2023-01-05 05:00:00,Pump_A,Drive_End,2.081,3.146,43.88,1494.1,77.6,OK
2023-01-05 06:00:00,Pump_A,Drive_End,2.433,3.196,45.78,1499.5,81.4,OK
2023-01-05 07:00:00,Pump_A,Drive_End,2.431,3.696,47.58,1505.0,83.8,OK
2023-01-05 08:00:00,Pump_A,Drive_End,1.767,2.935,41.98,1505.4,71.7,OK
2023-01-05 09:00:00,Pump_A,Drive_End,1.868,2.932,41.96,1483.7,71.0,OK
2023-01-05 10:00:00,Pump_A,Drive_End,2.578,3.262,46.43,1483.4,83.2,OK
2023-01-05 11:00:00,Pump_A,Drive_End,2.337,4.009,45.31,1491.4,80.2,OK
2023-01-05 12:00:00,Pump_A,Drive_End,2.757,4.856,45.26,1488.7,84.2,OK
2023-01-05 13:00:00,Pump_A,Drive_End,2.12,3.366,43.9,1505.8,76.0,OK
2023-01-05 14:00:00,Pump_A,Drive_End,2.66,4.117,47.07,1498.4,80.4,OK
2023-01-05 15:00:00,Pump_A,Drive_End,2.19,3.482,44.64,1495.1,77.9,OK
2023-01-05 16:00:00,Pump_A,Drive_End,2.661,3.829,48.14,1520.8,81.4,OK
2023-01-05 17:00:00,Pump_A,Drive_End,2.076,2.179,44.43,1479.6,78.0,OK
2023-01-05 18:00:00,Pump_A,Drive_End,2.471,3.597,47.03,1516.8,80.1,OK
2023-01-05 19:00:00,Pump_A,Drive_End,1.891,2.097,43.66,1502.4,68.9,OK
2023-01-05 20:00:00,Pump_A,Drive_End,2.628,5.078,47.09,1495.8,81.7,OK
2023-01-05 21:00:00,Pump_A,Drive_End,2.304,3.872,45.15,1495.4,81.2,OK
2023-01-05 22:00:00,Pump_A,Drive_End,2.517,3.943,47.4,1495.2,80.4,OK
2023-01-05 23:00:00,Pump_A,Drive_End,2.051,2.855,45.0,1497.3,77.4,OK
2023-01-06 00:00:00,Pump_A,Drive_End,2.801,4.879,48.17,1490.8,83.8,OK
