,daily_peak_mw
2026-01-01,123.59742826650161
2026-01-02,117.20527776180161
2026-01-03,124.71398836551789
2026-01-04,128.3164554959077
2026-01-05,127.506014187984
2026-01-06,126.05883227155526
2026-01-07,130.4186775436766
2026-01-08,123.20601700297506
2026-01-09,116.49896957007655
2026-01-10,124.10946871567523
2026-01-11,126.13803038109495
2026-01-12,126.47796255300096
2026-01-13,124.19546886880347
2026-01-14,122.94664987920869
2026-01-15,126.8644796605309
2026-01-16,117.13256259897088
2026-01-17,128.1254972310648
2026-01-18,127.59586292425693
2026-01-19,127.40362959287044
2026-01-20,126.4772601096088
2026-01-21,127.40741415378666
2026-01-22,123.8987046297979
2026-01-23,116.75289334304361
2026-01-24,125.77424076778385
2026-01-25,126.31946405764653
2026-01-26,128.36901877291908
2026-01-27,124.86656964605011
2026-01-28,125.91626259498119
2026-01-29,124.55998773411763
2026-01-30,117.30006704323614
2026-01-31,126.47260829320993
2026-02-01,129.60856735461303
2026-02-02,128.6511989897669
2026-02-03,127.44180234231808
2026-02-04,125.87993117867404
2026-02-05,127.21403527571925
2026-02-06,115.92724342479285
2026-02-07,125.17521949605519
2026-02-08,127.50173958507297
2026-02-09,127.07078122737275
2026-02-10,125.66879828955233
2026-02-11,126.37555552555946
2026-02-12,125.04241324376528
2026-02-13,116.67630750848514
2026-02-14,124.94473300499784
2026-02-15,127.97358955718266
2026-02-16,129.1603045954952
2026-02-17,125.01522224829698
2026-02-18,125.48091220604222
2026-02-19,123.21377801692934
2026-02-20,118.34435400299448
2026-02-21,127.92058516325599
2026-02-22,129.5724436844912
2026-02-23,126.81493685258347
2026-02-24,127.14071886278197
2026-02-25,125.97984336387351
2026-02-26,123.71669792345234
2026-02-27,117.61419350056852
2026-02-28,126.71030628913223
2026-03-01,128.55445340225882
2026-03-02,129.96251453370752
2026-03-03,126.91917702261794
2026-03-04,127.91809477320675
2026-03-05,125.34780053449906
2026-03-06,117.6742577173451
2026-03-07,129.0408304636879
2026-03-08,133.91818436359085
2026-03-09,131.9184782312606
2026-03-10,128.9885912049162
2026-03-11,129.12008232278552
2026-03-12,128.75837184716602
2026-03-13,120.53378985751456
2026-03-14,125.84931408888552
2026-03-15,129.04704528527645
2026-03-16,130.87985446724667
2026-03-17,133.5131867476239
2026-03-18,128.48997745270626
2026-03-19,125.59330124818905
2026-03-20,119.22004080068386
2026-03-21,127.16384582899117
2026-03-22,131.6142043566164
2026-03-23,128.3105472048372
2026-03-24,129.69010691213526
2026-03-25,129.47482604758503
2026-03-26,125.59148620000515
2026-03-27,121.30937525173346
2026-03-28,128.03453329632544
2026-03-29,131.44982725871958
2026-03-30,132.8173486788731
2026-03-31,129.97667102986182
2026-04-01,130.24375799074565
2026-04-02,129.47942582768158
2026-04-03,119.47611556220839
2026-04-04,130.85686398224178
2026-04-05,132.60864937028106
2026-04-06,130.42737544035126
2026-04-07,132.51848673571644
2026-04-08,130.8017227057819
2026-04-09,127.31530641116699
2026-04-10,120.72902441678356
2026-04-11,130.79642360285516
2026-04-12,132.27673009251157
2026-04-13,132.45716248796953
2026-04-14,132.10493059577905
2026-04-15,133.65531542126908
2026-04-16,130.3207222556809
2026-04-17,122.98897660689514
2026-04-18,128.86922294277437
2026-04-19,132.65822111098836
2026-04-20,133.28060712604648
2026-04-21,132.91773399795994
2026-04-22,133.0982708712543
2026-04-23,128.94926594457226
2026-04-24,121.02908672816592
2026-04-25,131.75385622607055
2026-04-26,135.09683886140076
2026-04-27,134.96434843875133
2026-04-28,134.4177006066175
2026-04-29,131.62072056957723
2026-04-30,132.76460523365475
2026-05-01,123.18185475588602
2026-05-02,131.15798803230288
2026-05-03,136.02312650486584
2026-05-04,134.51313890570907
2026-05-05,134.31489447468095
2026-05-06,136.78644415530582
2026-05-07,130.15079603563098
2026-05-08,124.84863051997573
2026-05-09,133.47121670749343
2026-05-10,134.1734756078126
2026-05-11,133.29725069875113
2026-05-12,136.61826712787996
2026-05-13,134.37669720734314
2026-05-14,132.9039752395698
2026-05-15,125.35185317978238
2026-05-16,132.78324761235586
2026-05-17,136.35727157634872
2026-05-18,136.08204760422592
2026-05-19,134.9657809541589
2026-05-20,135.87648938725079
2026-05-21,133.77316791372294
2026-05-22,125.0664703947111
2026-05-23,133.145487041468
2026-05-24,135.05192518727821
2026-05-25,136.92269054930566
2026-05-26,140.71871536774427
2026-05-27,135.36492319481187
2026-05-28,132.84405884194595
2026-05-29,125.66135360418919
2026-05-30,136.8866434597348
2026-05-31,136.80953871935083
2026-06-01,136.708291296674
2026-06-02,138.6711385172589
2026-06-03,136.9131781140217
2026-06-04,134.8608150122895
2026-06-05,127.89191215750756
2026-06-06,136.34019859236565
2026-06-07,138.3095339683333
2026-06-08,140.115066380994
2026-06-09,139.57110100087783
2026-06-10,134.90322872330975
2026-06-11,135.98819372077818
2026-06-12,126.90751144388369
2026-06-13,138.00456156955752
2026-06-14,139.17669378410838
2026-06-15,138.59046523899633
2026-06-16,142.20315993055524
2026-06-17,137.67954958987877
2026-06-18,138.69673071844556
2026-06-19,127.60952600539086
2026-06-20,137.76952629708543
2026-06-21,140.81425962789606
2026-06-22,139.07023366321175
2026-06-23,138.9378194665983
2026-06-24,137.76770471321677
2026-06-25,136.47627783456218
2026-06-26,129.0252130963343
2026-06-27,135.28092107628459
2026-06-28,142.64218902626044
2026-06-29,139.8507984161645
2026-06-30,137.67364983072122
2026-07-01,137.10823483483685
2026-07-02,137.89875654752746
2026-07-03,128.78348431260193
2026-07-04,138.9254483312466
2026-07-05,140.278894119585
2026-07-06,140.9408319054443
2026-07-07,139.35618386128218
2026-07-08,139.66333524362324
2026-07-09,134.9872588906763
2026-07-10,128.00948749625402
2026-07-11,138.16321374326915
2026-07-12,141.56273930794026
2026-07-13,144.803818705835
2026-07-14,143.03201149785323
2026-07-15,137.86506348214726
2026-07-16,136.07659796862885
2026-07-17,126.91966839302647
2026-07-18,137.13571875182723
2026-07-19,141.3304150013296
2026-07-20,139.95538254115996
2026-07-21,141.36410114795518
2026-07-22,142.41090086362
2026-07-23,138.00279044305168
2026-07-24,129.41174625499383
2026-07-25,137.62707161895366
2026-07-26,141.66087716016932
2026-07-27,139.65350809369943
2026-07-28,139.14173063360568
2026-07-29,141.65610927166867
2026-07-30,134.74292542868628
2026-07-31,128.20315642594457
2026-08-01,136.8524960940922
2026-08-02,140.67572236791946
2026-08-03,139.47788779073034
2026-08-04,137.3758974105295
2026-08-05,135.577575445623
2026-08-06,136.59705545190818
2026-08-07,128.2932701533814
2026-08-08,139.02949826135506
2026-08-09,139.60842700276814
2026-08-10,140.44809549958163
2026-08-11,137.85908947055293
2026-08-12,141.1052048585465
2026-08-13,136.16327371296543
2026-08-14,130.52426735284288
2026-08-15,137.87832850175897
2026-08-16,140.99472748592882
2026-08-17,139.37492871573082
2026-08-18,139.4577771024098
2026-08-19,138.00204485788652
2026-08-20,137.72220461378984
2026-08-21,127.76931618026624
2026-08-22,137.38770901233275
