feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,label
-1.3202,2.814,0.1833,-0.837,0.1999,-0.1462,-0.3723,1.4027,0.6687,-0.4331,0.5543,0.0713,1.115,1.3328,-3.1243,-1.331,1.1449,0.2967,0.3364,-0.3484,0.0847,-0.8072,-1.9491,1.7419,0.474,0.5911,-0.9823,1.3092,-2.2266,0.3519,0.2123,0.1813,3
1.0663,-0.7442,0.6439,-0.0776,1.836,0.1926,0.1247,-0.6831,1.5559,-0.207,0.9927,-0.4255,0.2778,1.0527,-0.369,-1.2197,0.1131,1.9599,-0.9454,0.1818,-0.0642,1.8528,-3.74,2.3545,-0.7922,1.5973,0.0773,0.7544,-0.1307,-0.7066,1.4753,1.7419,1
1.7251,-2.2248,1.4284,0.3339,-1.2778,-1.6954,2.2775,-1.7051,-0.9529,-0.2326,-0.3299,2.2712,-1.5559,-1.0006,1.5793,0.5217,-0.591,-1.8993,-0.7184,-0.8227,-0.8303,-1.5631,0.3667,0.0355,-0.6517,-0.4671,-0.4269,0.2253,1.1275,-0.0978,1.4734,-0.3221,2
-0.4299,-0.3167,0.2824,0.2971,1.3781,-0.7305,-0.3279,0.0598,-0.5745,-0.5545,1.4173,-1.5241,-1.34,0.2966,0.1295,1.0242,-0.5458,-0.88,0.1995,0.5016,0.9319,0.3717,0.6756,0.4106,-0.6275,0.5256,1.0192,1.9147,0.5507,0.9926,0.0524,0.4527,0
-1.2024,0.5188,1.0764,0.7974,-0.193,-1.2056,0.9192,-0.2455,0.0302,-0.2459,-0.1636,-0.143,0.4629,-1.4598,-0.5886,-0.1659,0.2231,-0.4015,1.8622,-0.8977,-0.3446,-0.8365,-0.8386,-0.6808,1.3982,-1.7836,0.3887,0.0028,2.1516,0.0574,2.3629,-0.6541,3
0.4057,-0.3895,0.0621,-2.1372,-1.2357,0.7151,-0.0578,1.6757,0.2053,-1.1616,0.3574,-0.4477,1.7158,-0.9258,0.6693,0.1297,1.6759,0.068,0.5034,0.4821,1.7447,0.288,0.638,-1.8345,-0.1134,-0.1561,1.4698,-1.9725,-0.1691,-1.3094,0.4833,0.6881,2
2.0288,-0.9753,-0.2598,2.1853,1.172,-0.5853,1.7359,-0.3698,0.1857,0.6735,-0.3075,-1.2211,0.3968,-1.275,-0.0062,0.5936,-0.328,-1.115,0.0309,0.7337,-0.245,0.3153,0.6628,-0.0214,-0.9874,1.5446,0.9538,0.0782,-1.0894,0.452,-0.2627,-0.6198,0
-1.1956,-0.0967,-0.2095,-0.052,-0.5245,0.4383,0.2911,0.2318,0.127,-0.3654,0.1959,0.6429,-0.3182,1.1493,-0.3273,0.9476,-0.7836,1.9359,-1.0065,0.5846,0.7218,0.3666,-0.2211,0.0608,0.0029,0.3165,1.8058,-0.5733,0.8162,-1.328,1.1591,0.148,2
0.9796,0.9205,1.1433,-1.0877,1.1689,1.1953,0.5698,1.4525,-0.5108,-0.6351,0.799,1.2755,0.1582,1.4018,0.2726,-0.8566,-1.5981,1.9805,-0.272,-1.0169,0.1748,-2.0244,-0.204,-0.6219,0.4827,-2.2847,-0.0377,0.5444,1.1481,0.5777,0.498,2.697,1
-1.2035,-1.8046,0.7288,-0.1824,0.012,0.5627,-0.0365,-0.4609,0.3461,-0.0584,-0.0734,-0.4482,-0.8512,-0.4012,-1.3203,1.0289,-0.3689,0.8147,0.4774,-0.0183,0.8721,-0.0761,0.5096,-1.1264,-1.6812,0.9066,-1.5461,-0.8262,0.5259,-1.752,-0.8489,-0.0983,0
0.246,-0.5164,0.8572,-0.1154,0.9807,1.7057,-1.5852,-0.4972,-0.7118,-0.8381,-1.1307,-0.1576,0.5415,-0.0279,-0.6116,-0.9223,-0.9493,1.0191,-0.4078,-0.3356,1.0162,1.4294,-1.3557,-0.0911,0.7293,1.6718,-0.888,1.2933,-0.6081,-1.6876,-2.1933,0.8432,0
-0.4002,0.9779,-0.3649,0.5929,-1.6117,-0.4123,1.7687,1.9862,-0.1765,0.5783,-0.6819,-0.6026,0.7314,0.8209,0.0928,-0.7946,0.5302,-1.1998,-1.1123,-0.3672,-0.4176,-0.8932,1.5595,-1.34,-0.4865,-0.7563,-1.22,-0.5256,-0.2781,1.5938,0.0462,0.8214,0
0.275,0.6583,-1.9067,-1.7868,-0.4035,-0.6173,1.1483,-0.5211,-1.2567,0.7029,-1.8106,-1.3053,-2.1623,1.4356,-0.24,-0.1321,0.5,0.2196,0.0729,-1.7378,-1.7548,-0.2405,1.2243,-0.4788,0.394,3.3376,-0.0438,1.0466,-1.2665,-0.5609,-0.259,1.3532,3
0.2159,0.1229,-0.6543,-1.5489,-2.3697,-1.1107,0.3853,-0.4882,0.3311,-2.1456,0.126,-1.1903,-0.0936,-1.4612,-0.0634,0.8512,-0.6418,0.7911,0.3357,1.1248,-1.7734,0.9322,-0.2285,0.6128,-2.1226,-0.984,-1.7887,-0.213,2.1078,-0.398,-0.3169,0.1322,2
1.1468,-1.8136,0.8174,0.6512,2.5557,-1.2937,0.7223,0.5081,-0.2838,-0.7238,1.0815,0.0372,-1.6343,0.9402,0.9845,-0.1932,0.3037,0.983,0.0086,-2.2112,0.7745,1.6342,-0.9541,1.0104,0.0022,0.8062,-0.1508,0.2115,0.6507,0.7794,-1.322,1.0986,2
-1.9596,0.4288,-0.4167,2.0494,0.7108,0.0308,0.2023,0.5793,-0.3321,0.3571,0.3718,-0.8128,-0.5591,-0.285,0.1206,0.5215,-0.5423,1.941,1.1906,-1.3656,0.4584,-1.0432,-1.124,0.1727,0.5373,0.0839,-0.9727,0.4736,0.5432,0.2673,1.3312,1.1503,2
-1.4364,0.7361,0.7918,-0.3804,-0.4356,1.548,-0.1843,-0.336,-0.42,-0.5153,0.1214,0.9337,-1.4275,-1.2253,0.856,-0.8059,-0.1555,-0.6706,-1.9366,0.7313,0.1564,0.7302,-2.233,-0.6501,0.8964,0.7095,-0.394,2.0579,-0.4011,-1.0366,0.5891,0.2178,1
0.462,1.367,-0.9791,0.7981,-0.4737,0.0446,1.1118,-0.3926,0.1923,0.2819,-0.1661,-0.757,0.8626,0.5981,-2.4581,0.0131,-0.5423,-0.2786,0.9638,0.1221,0.697,-0.5483,-0.0314,-2.1761,1.721,0.7116,-0.1179,0.2945,1.0449,-0.3269,0.4579,0.1766,2
0.7731,-0.1046,0.0316,0.4332,-0.2775,1.8566,-0.2523,-0.452,-0.3499,-0.7132,1.2128,-1.0975,-0.5876,-0.4298,-0.0505,-0.3415,1.2275,-0.8439,1.3385,1.4451,-1.0402,0.207,-0.2668,-0.4653,1.2675,0.3891,0.2931,-0.6728,-0.2732,-0.7799,-0.6943,-0.2722,0
-1.0566,-0.5345,0.5731,-0.8309,0.0934,-0.1291,1.4206,0.6957,2.1889,-0.8278,0.6794,1.4766,0.5218,0.3699,-1.6531,0.6456,1.2027,-0.333,1.8479,0.3845,-1.2721,2.3762,-0.8861,-0.8072,0.1427,-0.2315,0.3428,0.0165,1.106,1.4625,0.5029,-2.1459,1
0.1875,0.7778,-1.2877,1.3215,1.0583,-2.2252,1.4766,-1.1202,-0.1063,0.5101,0.102,0.3712,0.1707,1.3064,-0.9582,0.788,0.1402,-0.8915,-1.1872,-0.4864,0.8702,-1.694,1.0194,0.189,1.3561,0.2681,1.5711,1.6647,-0.4683,-0.9598,-2.8926,-0.5263,0
