C,ngram_range,min_df,spr,roc_auc,pr_auc,brier
8.0,"(3, 6)",2,1.1320754716981132,0.5381582652773866,0.48831425459679056,0.2676194340905565
8.0,"(3, 5)",2,1.1320754716981132,0.5367502112081104,0.4867972383010495,0.2693918350452907
4.0,"(3, 5)",2,1.1320754716981132,0.534215713883413,0.48393779869724873,0.25975328319758056
4.0,"(3, 6)",2,1.1320754716981132,0.5330892706279922,0.48394327692149897,0.2585559724154284
2.0,"(3, 6)",2,1.1320754716981132,0.5325260490002817,0.47673563940821784,0.2523323712835096
2.0,"(3, 5)",2,1.1320754716981132,0.5308363841171501,0.4746521342900743,0.2530289294528054
1.0,"(3, 6)",2,1.1320754716981132,0.5297099408617291,0.49267361819733707,0.2494868460878197
1.0,"(3, 5)",2,1.1320754716981132,0.5291467192340186,0.4924102534163009,0.24983716778462667
4.0,"(3, 6)",1,1.1320754716981132,0.5277386651647423,0.49810288415402826,0.25530769790870483
8.0,"(3, 5)",3,1.1320754716981132,0.5271754435370318,0.46446003137683356,0.2774211841720908
8.0,"(3, 6)",3,1.1320754716981132,0.5271754435370318,0.4641876617148325,0.27720610987773503
8.0,"(3, 6)",1,1.1320754716981132,0.5260490002816108,0.4995735225811126,0.26130333889209073
2.0,"(3, 6)",1,1.1320754716981132,0.5237961137707688,0.4990336335292132,0.25135489411878514
4.0,"(3, 6)",3,1.1320754716981132,0.5232328921430582,0.46569829574083216,0.265124346551945
8.0,"(4, 6)",2,1.1320754716981132,0.5223880597014926,0.49598375932554,0.267308004129803
4.0,"(3, 5)",3,1.1320754716981132,0.5223880597014925,0.4618995283962485,0.26526190771054775
4.0,"(4, 6)",2,1.1320754716981132,0.5223880597014925,0.4951718138776141,0.2583286894881383
0.5,"(3, 5)",2,1.5094339622641508,0.5221064488876372,0.48953660928230613,0.24906123060306232
0.5,"(3, 6)",2,1.5094339622641508,0.5221064488876372,0.491042543705169,0.24890619594664504
2.0,"(4, 6)",2,1.5094339622641508,0.5215432272599267,0.5012730335061919,0.25256050026306875
2.0,"(3, 5)",1,1.1320754716981132,0.5209800056322162,0.49409427078168977,0.25318620475159687
8.0,"(3, 5)",1,1.1320754716981132,0.51957195156294,0.487387327890457,0.26700885119705187
8.0,"(2, 4)",1,0.7547169811320754,0.5192903407490848,0.4588897105615928,0.27944961226042664
1.0,"(4, 6)",2,1.5094339622641508,0.5190087299352295,0.4900267724553261,0.250066601193973
4.0,"(3, 5)",1,1.1320754716981132,0.5187271191213743,0.4874365776657187,0.25884882152708716
8.0,"(2, 4)",2,0.7547169811320754,0.5187271191213743,0.4595687507024465,0.2800284569376989
1.0,"(3, 5)",1,1.5094339622641508,0.5181638974936638,0.4967770332751158,0.25042294480137056
4.0,"(2, 4)",1,0.7547169811320754,0.5176006758659533,0.4583977150618169,0.26719140804237146
1.0,"(3, 6)",1,1.886792452830189,0.517319065052098,0.4970223895875622,0.24971547060036403
2.0,"(2, 4)",2,1.1320754716981132,0.517319065052098,0.46690361494240173,0.25823343995532616
2.0,"(3, 5)",3,1.1320754716981132,0.5164742326105323,0.46196366133315625,0.2562438421679957
2.0,"(3, 6)",3,1.1320754716981132,0.516192621796677,0.4614307099355536,0.2561731479343588
4.0,"(2, 4)",2,0.7547169811320754,0.516192621796677,0.4592856375066391,0.26748667290070677
2.0,"(2, 4)",1,1.1320754716981132,0.5156294001689665,0.46396028431902403,0.25811527837291187
1.0,"(3, 5)",3,1.1320754716981132,0.5142213460996903,0.4722855552507855,0.25147759938107306
