metric,domain,policy,n,mean,ci_lo,ci_hi
collision_count,real,pi_base,1,0.19,0.19,0.19
collision_count,real,pi_new,1,0.17,0.17,0.17
cycle_time_s,real,pi_base,1,2.45,2.45,2.45
cycle_time_s,real,pi_new,1,2.18,2.18,2.18
edge_case_fail_rate,real,pi_base,1,0.074,0.074,0.074
edge_case_fail_rate,real,pi_new,1,0.138,0.138,0.138
energy_kwh,real,pi_base,1,0.52,0.52,0.52
energy_kwh,real,pi_new,1,0.48,0.48,0.48
human_rating_1_5,real,pi_base,1,3.9,3.9,3.9
human_rating_1_5,real,pi_new,1,4.0,4.0,4.0
line_stop_events,real,pi_base,1,0.05,0.05,0.05
line_stop_events,real,pi_new,1,0.08,0.08,0.08
safety_intervention_rate,real,pi_base,1,0.009,0.009,0.009
safety_intervention_rate,real,pi_new,1,0.031,0.031,0.031
success_rate,real,pi_base,1,0.883,0.883,0.883
success_rate,real,pi_new,1,0.905,0.905,0.905
collision_count,sim,pi_base,1,0.12,0.12,0.12
collision_count,sim,pi_new,1,0.11,0.11,0.11
cycle_time_s,sim,pi_base,1,2.31,2.31,2.31
cycle_time_s,sim,pi_new,1,2.05,2.05,2.05
edge_case_fail_rate,sim,pi_base,1,0.061,0.061,0.061
edge_case_fail_rate,sim,pi_new,1,0.112,0.112,0.112
energy_kwh,sim,pi_base,1,0.45,0.45,0.45
energy_kwh,sim,pi_new,1,0.43,0.43,0.43
human_rating_1_5,sim,pi_base,1,4.1,4.1,4.1
human_rating_1_5,sim,pi_new,1,4.3,4.3,4.3
line_stop_events,sim,pi_base,1,0.02,0.02,0.02
line_stop_events,sim,pi_new,1,0.03,0.03,0.03
safety_intervention_rate,sim,pi_base,1,0.004,0.004,0.004
safety_intervention_rate,sim,pi_new,1,0.018,0.018,0.018
success_rate,sim,pi_base,1,0.912,0.912,0.912
success_rate,sim,pi_new,1,0.941,0.941,0.941
