term,z,favors
delays,0.9244898958481241,transit_primary
miss,0.9244898958481241,transit_primary
generic,0.9244898958481241,transit_primary
app,0.8861017877394247,transit_primary
slides,0.7076279160895803,transit_primary
wait,0.7076279160895803,transit_primary
marketing,0.7076279160895803,transit_primary
pain,0.7076279160895803,transit_primary
fails,0.7076279160895803,transit_primary
buried,0.7076279160895803,transit_primary
tunnels,0.7076279160895803,transit_primary
switching,0.7076279160895803,transit_primary
opaque,0.7076279160895803,transit_primary
crowding,0.7076279160895803,transit_primary
actually,0.7076279160895803,transit_primary
guessing,0.7076279160895803,transit_primary
keeps,0.7076279160895803,transit_primary
rest,0.7076279160895803,transit_primary
banners,0.7076279160895803,transit_primary
pair,0.7076279160895803,transit_primary
menus,0.7076279160895803,transit_primary
signal,0.7076279160895803,transit_primary
discounts,0.7076279160895803,transit_primary
live,0.7076279160895803,transit_primary
erode,0.7076279160895803,transit_primary
day,0.7076279160895803,transit_primary
bike,0.7076279160895803,transit_primary
arrival,0.7076279160895803,transit_primary
station,0.7076279160895803,transit_primary
routing,0.7076279160895803,transit_primary
main,0.7076279160895803,transit_primary
open,0.7076279160895803,transit_primary
feature,0.7076279160895803,transit_primary
wish,0.7076279160895803,transit_primary
names,0.7076279160895803,transit_primary
long,0.7076279160895803,transit_primary
apps,0.7076279160895803,transit_primary
reason,0.7076279160895803,transit_primary
caps,0.7076279160895803,transit_primary
scary,0.7076279160895803,transit_primary
parking,-0.9675333150636818,car_primary
decide,-0.9675333150636818,car_primary
transit,-0.9675333150636818,car_primary
legs,-0.9675333150636818,car_primary
drive,-0.9675333150636818,car_primary
estimate,-0.7496233508924334,car_primary
matters,-0.7496233508924334,car_primary
trips,-0.7496233508924334,car_primary
cheapest,-0.7496233508924334,car_primary
driving,-0.7496233508924334,car_primary
minutes,-0.7496233508924334,car_primary
spreadsheets,-0.7496233508924334,car_primary
crowded,-0.7496233508924334,car_primary
fixed,-0.7496233508924334,car_primary
exceeds,-0.7496233508924334,car_primary
news,-0.7496233508924334,car_primary
ride,-0.7496233508924334,car_primary
reroutes,-0.7496233508924334,car_primary
right,-0.7496233508924334,car_primary
feed,-0.7496233508924334,car_primary
home,-0.7496233508924334,car_primary
view,-0.7496233508924334,car_primary
fuel,-0.7496233508924334,car_primary
unless,-0.7496233508924334,car_primary
assume,-0.7496233508924334,car_primary
matching,-0.7496233508924334,car_primary
saving,-0.7496233508924334,car_primary
helps,-0.7496233508924334,car_primary
explains,-0.7496233508924334,car_primary
notes,-0.7496233508924334,car_primary
buttons,-0.7496233508924334,car_primary
plan,-0.7496233508924334,car_primary
app's,-0.7496233508924334,car_primary
families,-0.7496233508924334,car_primary
strike,-0.7496233508924334,car_primary
unreliable,-0.7496233508924334,car_primary
clutter,-0.7496233508924334,car_primary
noisy,-0.7496233508924334,car_primary
costs,-0.7496233508924334,car_primary
useful,-0.7496233508924334,car_primary
