cohort,term,count
transit_primary,app,3
transit_primary,miss,2
transit_primary,train,2
transit_primary,single,2
transit_primary,delays,2
transit_primary,generic,2
transit_primary,live,1
transit_primary,arrival,1
transit_primary,board,1
transit_primary,open,1
transit_primary,wrong,1
transit_primary,connections,1
transit_primary,rest,1
transit_primary,day,1
transit_primary,slides,1
transit_primary,sideways,1
transit_primary,crowding,1
transit_primary,main,1
transit_primary,pain,1
transit_primary,skip,1
transit_primary,says,1
transit_primary,time,1
transit_primary,know,1
transit_primary,platform,1
transit_primary,unsafe,1
transit_primary,pricing,1
transit_primary,feels,1
transit_primary,opaque,1
transit_primary,want,1
transit_primary,place,1
transit_primary,shows,1
transit_primary,weekly,1
transit_primary,caps,1
transit_primary,discounts,1
transit_primary,digging,1
transit_primary,menus,1
transit_primary,night,1
transit_primary,service,1
transit_primary,gaps,1
transit_primary,scary,1
transit_primary,pair,1
transit_primary,walking,1
transit_primary,directions,1
transit_primary,guessing,1
transit_primary,midnight,1
transit_primary,accessibility,1
transit_primary,info,1
transit_primary,hit,1
transit_primary,elevator,1
transit_primary,outages,1
transit_primary,buried,1
transit_primary,need,1
transit_primary,louder,1
transit_primary,marketing,1
transit_primary,banners,1
transit_primary,appreciate,1
transit_primary,offline,1
transit_primary,mode,1
transit_primary,tunnels,1
transit_primary,drop,1
transit_primary,signal,1
transit_primary,feature,1
transit_primary,keeps,1
transit_primary,switching,1
transit_primary,apps,1
transit_primary,transfers,1
transit_primary,fails,1
transit_primary,station,1
transit_primary,different,1
transit_primary,names,1
transit_primary,lines,1
transit_primary,map,1
transit_primary,does,1
transit_primary,reconcile,1
transit_primary,fine,1
transit_primary,explanation,1
transit_primary,honest,1
transit_primary,erode,1
transit_primary,trust,1
transit_primary,faster,1
transit_primary,long,1
transit_primary,wait,1
transit_primary,reason,1
transit_primary,wish,1
transit_primary,surfaced,1
transit_primary,bike,1
transit_primary,share,1
transit_primary,docks,1
transit_primary,near,1
transit_primary,exit,1
transit_primary,actually,1
transit_primary,use,1
transit_primary,routing,1
transit_primary,assumes,1
transit_primary,street,1
transit_primary,corner,1
car_primary,drive,2
car_primary,transit,2
car_primary,time,2
car_primary,decide,2
car_primary,parking,2
car_primary,want,2
car_primary,legs,2
car_primary,need,2
car_primary,map,2
car_primary,wrong,2
car_primary,unreliable,1
car_primary,app's,1
car_primary,estimate,1
car_primary,helps,1
car_primary,costs,1
car_primary,view,1
car_primary,traffic,1
car_primary,alerts,1
car_primary,useful,1
car_primary,noisy,1
car_primary,reroutes,1
car_primary,delay,1
car_primary,exceeds,1
car_primary,lose,1
car_primary,searching,1
car_primary,combine,1
car_primary,park,1
car_primary,ride,1
car_primary,app,1
car_primary,stitch,1
car_primary,driving,1
car_primary,train,1
car_primary,instead,1
car_primary,treating,1
car_primary,separate,1
car_primary,trips,1
car_primary,safety,1
car_primary,lot,1
car_primary,matters,1
car_primary,saving,1
car_primary,minutes,1
car_primary,lighting,1
car_primary,cctv,1
car_primary,notes,1
car_primary,cheapest,1
car_primary,price,1
car_primary,carpool,1
car_primary,matching,1
car_primary,gimmicky,1
car_primary,unless,1
car_primary,respects,1
car_primary,fixed,1
car_primary,drop,1
car_primary,ignore,1
car_primary,prompts,1
car_primary,fuel,1
car_primary,fare,1
car_primary,comparison,1
car_primary,help,1
car_primary,families,1
car_primary,weekly,1
car_primary,right,1
car_primary,guesswork,1
car_primary,spreadsheets,1
car_primary,interface,1
car_primary,crowded,1
car_primary,buttons,1
car_primary,home,1
car_primary,screen,1
car_primary,feels,1
car_primary,clutter,1
car_primary,strike,1
car_primary,single,1
car_primary,banner,1
car_primary,explains,1
car_primary,alternatives,1
car_primary,feed,1
car_primary,unrelated,1
car_primary,news,1
car_primary,trust,1
car_primary,eta,1
car_primary,line,1
car_primary,assume,1
car_primary,trip,1
car_primary,plan,1
