term,count
app,4
wrong,3
train,3
time,3
want,3
single,3
need,3
map,3
miss,2
feels,2
weekly,2
drop,2
delays,2
generic,2
trust,2
drive,2
transit,2
decide,2
parking,2
legs,2
live,1
arrival,1
board,1
open,1
connections,1
rest,1
day,1
slides,1
sideways,1
crowding,1
main,1
pain,1
skip,1
says,1
know,1
platform,1
unsafe,1
pricing,1
opaque,1
place,1
shows,1
caps,1
discounts,1
digging,1
menus,1
night,1
service,1
gaps,1
scary,1
pair,1
walking,1
directions,1
guessing,1
midnight,1
accessibility,1
info,1
hit,1
elevator,1
outages,1
buried,1
louder,1
marketing,1
banners,1
appreciate,1
offline,1
mode,1
tunnels,1
signal,1
feature,1
keeps,1
switching,1
apps,1
transfers,1
fails,1
station,1
different,1
names,1
lines,1
does,1
reconcile,1
fine,1
explanation,1
honest,1
erode,1
faster,1
long,1
wait,1
reason,1
wish,1
surfaced,1
bike,1
share,1
docks,1
near,1
exit,1
actually,1
use,1
routing,1
assumes,1
street,1
