source_system,ngram_n,ngram,count
edr,1,suspicious,1
edr,1,powershell,1
edr,1,encoded,1
edr,1,payload,1
edr,1,blocked,1
edr,1,workstation,1
edr,1,fin-042,1
edr,1,parent,1
edr,1,process,1
edr,1,explorer.exe,1
edr,1,end,1
edr,1,notified,1
edr,1,per,1
edr,1,playbook.,1
edr,1,repeated,1
edr,1,failed,1
edr,1,local,1
edr,1,admin,1
edr,1,logins,1
edr,1,laptop,1
edr,1,hr-118,1
edr,1,after,1
edr,1,hours,1
edr,1,account,1
edr,1,disabled,1
edr,1,queued,1
edr,1,reimage.,1
edr,1,ransomware-like,1
edr,1,file,1
edr,1,extension,1
edr,2,suspicious powershell,1
edr,2,powershell encoded,1
edr,2,encoded payload,1
edr,2,payload blocked,1
edr,2,blocked workstation,1
edr,2,workstation fin-042,1
edr,2,fin-042 parent,1
edr,2,parent process,1
edr,2,process explorer.exe,1
edr,2,explorer.exe end,1
edr,2,end notified,1
edr,2,notified per,1
edr,2,per playbook.,1
edr,2,repeated failed,1
edr,2,failed local,1
edr,2,local admin,1
edr,2,admin logins,1
edr,2,logins laptop,1
edr,2,laptop hr-118,1
edr,2,hr-118 after,1
edr,2,after hours,1
edr,2,hours account,1
edr,2,account disabled,1
edr,2,disabled queued,1
edr,2,queued reimage.,1
edr,2,ransomware-like file,1
edr,2,file extension,1
edr,2,extension mass,1
edr,2,mass change,1
edr,2,change not,1
network_ids,1,outbound,1
network_ids,1,smb,1
network_ids,1,sessions,1
network_ids,1,unusual,1
network_ids,1,internal,1
network_ids,1,subnet,1
network_ids,1,legacy,1
network_ids,1,file,1
network_ids,1,server,1
network_ids,1,fs-09,1
network_ids,1,connections,1
network_ids,1,reset,1
network_ids,1,firewall,1
network_ids,1,rule,1
network_ids,1,review,1
network_ids,1,requested.,1
network_ids,1,dns,1
network_ids,1,tunneling-like,1
network_ids,1,query,1
network_ids,1,volume,1
network_ids,1,spike,1
network_ids,1,guest,1
network_ids,1,wi-fi,1
network_ids,1,vlan,1
network_ids,1,sinkhole,1
network_ids,1,sink,1
network_ids,1,applied,1
network_ids,1,no,1
network_ids,1,data,1
network_ids,1,exfil,1
network_ids,2,outbound smb,1
network_ids,2,smb sessions,1
network_ids,2,sessions unusual,1
network_ids,2,unusual internal,1
network_ids,2,internal subnet,1
network_ids,2,subnet legacy,1
network_ids,2,legacy file,1
network_ids,2,file server,1
network_ids,2,server fs-09,1
network_ids,2,fs-09 connections,1
network_ids,2,connections reset,1
network_ids,2,reset firewall,1
network_ids,2,firewall rule,1
network_ids,2,rule review,1
network_ids,2,review requested.,1
network_ids,2,dns tunneling-like,1
network_ids,2,tunneling-like query,1
network_ids,2,query volume,1
network_ids,2,volume spike,1
network_ids,2,spike guest,1
network_ids,2,guest wi-fi,1
network_ids,2,wi-fi vlan,1
network_ids,2,vlan sinkhole,1
network_ids,2,sinkhole sink,1
network_ids,2,sink applied,1
network_ids,2,applied no,1
network_ids,2,no data,1
network_ids,2,data exfil,1
network_ids,2,exfil indicators,1
network_ids,2,indicators summary.,1
