source_system,ngram,count
edr,workstation fin,1
edr,extension,1
edr,encoded,1
edr,encoded payload,1
edr,end,1
edr,end user,1
edr,exe,1
edr,exe end,1
edr,explorer,1
edr,explorer exe,1
edr,extension mass,1
edr,disabled,1
edr,failed,1
edr,failed local,1
edr,false,1
edr,false positive,1
edr,file,1
edr,file extension,1
edr,fin,1
edr,fin 042,1
edr,disabled device,1
edr,device queued,1
edr,high confidence,1
edr,alert closed,1
edr,042 parent,1
edr,118,1
edr,118 hours,1
edr,account,1
edr,account disabled,1
edr,admin,1
network_ids,window,1
network_ids,internal,1
network_ids,file server,1
network_ids,firewall,1
network_ids,firewall rule,1
network_ids,fs,1
network_ids,fs 09,1
network_ids,guest,1
network_ids,guest wi,1
network_ids,indicators,1
network_ids,indicators summary,1
network_ids,internal subnet,1
network_ids,fi vlan,1
network_ids,legacy,1
network_ids,legacy file,1
network_ids,like,1
network_ids,like query,1
network_ids,linked,1
network_ids,linked change,1
network_ids,newly,1
network_ids,newly registered,1
network_ids,outbound,1
network_ids,file,1
network_ids,fi,1
network_ids,query,1
network_ids,data,1
network_ids,09 connections,1
network_ids,applied,1
network_ids,applied data,1
network_ids,challenge,1
