pressure_kPa,flame_speed_cm_s
38.0,40.0661
38.888,39.3117
39.776,38.5351
40.664,37.5782
41.552,36.8004
42.44,36.2826
43.328,35.2759
44.216,34.6898
45.104,34.1571
45.993,33.6413
46.881,32.6766
47.769,32.3785
48.657,31.5924
49.545,31.1796
50.433,30.9588
51.321,30.2888
52.209,30.1568
53.097,29.3441
53.985,29.1029
54.873,28.6335
55.761,28.0511
56.649,27.383
57.537,27.23
58.425,26.7614
59.313,26.3821
60.201,26.1669
61.09,25.4957
61.978,25.2708
62.866,24.9126
63.754,24.7429
64.642,24.3277
65.53,24.0368
66.418,23.9086
67.306,23.5043
68.194,23.3138
69.082,22.8164
69.97,22.6074
70.858,22.9216
71.746,22.1206
72.634,21.5917
73.522,21.8403
74.41,21.3949
75.299,21.3555
76.187,21.0643
77.075,20.9729
77.963,20.6287
78.851,20.3939
79.739,20.464
80.627,19.5905
81.515,19.5731
82.403,32.576
83.291,32.4578
84.179,32.2296
85.067,32.1187
85.955,32.5352
86.843,31.6652
87.731,31.6117
88.619,31.6502
89.507,31.2738
90.396,31.5618
91.284,31.1149
92.172,30.7405
93.06,31.0598
93.948,30.8635
94.836,30.4686
95.724,30.4387
96.612,30.3666
97.5,30.0662
