fold,model,rmse,mae
1,OLS,1.4228042541148158,1.3107439745998097
1,Poisson,1.5390023529858847,1.4733817488110386
1,NegBin,1.5272084394841126,1.4545489306965886
2,OLS,1.6121386998673453,1.4412012056661294
2,Poisson,2.2588701494993777,2.0734402778714283
2,NegBin,2.2641591518214628,2.0448541453225433
3,OLS,2.6425185323329594,2.2027326911555303
3,Poisson,3.308316462676901,2.9596252939783234
3,NegBin,3.273102421443472,2.9312589765119657
4,OLS,11.188985276045177,5.753833249419932
4,Poisson,11.08704487074479,5.80735166733543
4,NegBin,11.08704565722299,5.807351013314703
5,OLS,7.874843099388496,5.387153335560784
5,Poisson,7.890529020687232,5.669271809473358
5,NegBin,7.89679881955806,5.678495570992039
