term,coef,se(HAC),t,p,model,n,r2
const,0.013675312034227574,0.015465247127360172,0.8842608153369916,0.3765554357071733,A: reit_ret ~ infl,40,0.8663017587938286
infl,15.571381043675474,0.6082946357172258,25.598419136666607,1.5886427012082185e-144,A: reit_ret ~ infl,40,0.8663017587938286
const,-0.007455247941455914,0.03918417792759297,-0.19026169070669796,0.8491040716677074,B: reit_ret ~ infl + infl_l1 + infl_l2,38,0.879969851253714
infl,15.947973374189827,0.7311787535465601,21.81131945756721,1.8117532309056243e-105,B: reit_ret ~ infl + infl_l1 + infl_l2,38,0.879969851253714
infl_l1,-1.0278840365517636,1.0254415020810517,-1.00238193447969,0.31615916388597476,B: reit_ret ~ infl + infl_l1 + infl_l2,38,0.879969851253714
infl_l2,1.4863871524329102,0.8710358270272527,1.7064592595528274,0.08792260540590548,B: reit_ret ~ infl + infl_l1 + infl_l2,38,0.879969851253714
const,0.027446622679618827,0.03196044492559762,0.8587684790844824,0.39046826122360423,C: reit_ret ~ infl + infl_l1 + reit_ret_l1,39,0.8748674897393047
infl,15.74445029110382,0.5923847001935757,26.57808394774367,1.2166817380771847e-155,C: reit_ret ~ infl + infl_l1 + reit_ret_l1,39,0.8748674897393047
infl_l1,-1.4565955652202758,1.6949000934855554,-0.8593990706701731,0.39012038227147006,C: reit_ret ~ infl + infl_l1 + reit_ret_l1,39,0.8748674897393047
reit_ret_l1,0.03871562818619592,0.09131308813391394,0.42398772155660813,0.6715747678984434,C: reit_ret ~ infl + infl_l1 + reit_ret_l1,39,0.8748674897393047
