record_date,generator_unit,net_kwh,n_records
2024-01-01,T-01,50,1
2024-01-01,T-02,51,1
2024-01-01,T-03,52,1
2024-01-02,T-01,53,1
2024-01-02,T-02,54,1
2024-01-02,T-03,55,1
2024-01-03,T-01,56,1
2024-01-03,T-02,57,1
2024-01-03,T-03,58,1
2024-01-04,T-01,59,1
2024-01-04,T-02,60,1
2024-01-04,T-03,61,1
2024-01-05,T-01,62,1
2024-01-05,T-02,63,1
2024-01-05,T-03,64,1
2024-01-06,T-01,65,1
2024-01-06,T-02,66,1
2024-01-06,T-03,67,1
2024-01-07,T-01,68,1
2024-01-07,T-02,69,1
2024-01-07,T-03,70,1
2024-01-08,T-01,71,1
2024-01-08,T-02,72,1
2024-01-08,T-03,73,1
2024-01-09,T-01,74,1
2024-01-09,T-02,75,1
2024-01-09,T-03,76,1
2024-01-10,T-01,77,1
2024-01-10,T-02,78,1
2024-01-10,T-03,79,1
