record_date,generator_unit,net_kwh_merged,source_used,material_discrepancy,net_kwh_site,net_kwh_field
2024-01-01,T-01,50.0,field,False,,50.0
2024-01-01,T-02,51.0,field,False,,51.0
2024-01-01,T-03,52.0,field,False,,52.0
2024-01-01,T01,50.0,site,False,50.0,
2024-01-01,T02,51.0,site,False,51.0,
2024-01-01,T03,52.0,site,False,52.0,
2024-01-02,T-01,53.0,field,False,,53.0
2024-01-02,T-02,54.0,field,False,,54.0
2024-01-02,T-03,55.0,field,False,,55.0
2024-01-02,T01,53.0,site,False,53.0,
2024-01-02,T02,54.0,site,False,54.0,
2024-01-02,T03,55.0,site,False,55.0,
2024-01-03,T-01,56.0,field,False,,56.0
2024-01-03,T-02,57.0,field,False,,57.0
2024-01-03,T-03,58.0,field,False,,58.0
2024-01-03,T01,56.0,site,False,56.0,
2024-01-03,T02,57.0,site,False,57.0,
2024-01-03,T03,58.0,site,False,58.0,
2024-01-04,T-01,59.0,field,False,,59.0
2024-01-04,T-02,60.0,field,False,,60.0
2024-01-04,T-03,61.0,field,False,,61.0
2024-01-04,T01,59.0,site,False,59.0,
2024-01-04,T02,60.0,site,False,60.0,
2024-01-04,T03,61.0,site,False,61.0,
2024-01-05,T-01,62.0,field,False,,62.0
2024-01-05,T-02,63.0,field,False,,63.0
2024-01-05,T-03,64.0,field,False,,64.0
2024-01-05,T01,62.0,site,False,62.0,
2024-01-05,T02,63.0,site,False,63.0,
2024-01-05,T03,64.0,site,False,64.0,
2024-01-06,T-01,65.0,field,False,,65.0
2024-01-06,T-02,66.0,field,False,,66.0
2024-01-06,T-03,67.0,field,False,,67.0
2024-01-06,T01,65.0,site,False,65.0,
2024-01-06,T02,66.0,site,False,66.0,
2024-01-06,T03,67.0,site,False,67.0,
2024-01-07,T-01,68.0,field,False,,68.0
2024-01-07,T-02,69.0,field,False,,69.0
2024-01-07,T-03,70.0,field,False,,70.0
2024-01-07,T01,68.0,site,False,68.0,
2024-01-07,T02,69.0,site,False,69.0,
2024-01-07,T03,70.0,site,False,70.0,
2024-01-08,T-01,71.0,field,False,,71.0
2024-01-08,T-02,72.0,field,False,,72.0
2024-01-08,T-03,73.0,field,False,,73.0
2024-01-08,T01,71.0,site,False,71.0,
2024-01-08,T02,72.0,site,False,72.0,
2024-01-08,T03,73.0,site,False,73.0,
2024-01-09,T-01,74.0,field,False,,74.0
2024-01-09,T-02,75.0,field,False,,75.0
2024-01-09,T-03,76.0,field,False,,76.0
2024-01-09,T01,74.0,site,False,74.0,
2024-01-09,T02,75.0,site,False,75.0,
2024-01-09,T03,76.0,site,False,76.0,
2024-01-10,T-01,77.0,field,False,,77.0
2024-01-10,T-02,78.0,field,False,,78.0
2024-01-10,T-03,79.0,field,False,,79.0
2024-01-10,T01,77.0,site,False,77.0,
2024-01-10,T02,78.0,site,False,78.0,
2024-01-10,T03,79.0,site,False,79.0,
