record_date,generator_unit,net_kwh,n_records
2024-01-01,T01,50,1
2024-01-01,T02,51,1
2024-01-01,T03,52,1
2024-01-02,T01,53,1
2024-01-02,T02,54,1
2024-01-02,T03,55,1
2024-01-03,T01,56,1
2024-01-03,T02,57,1
2024-01-03,T03,58,1
2024-01-04,T01,59,1
2024-01-04,T02,60,1
2024-01-04,T03,61,1
2024-01-05,T01,62,1
2024-01-05,T02,63,1
2024-01-05,T03,64,1
2024-01-06,T01,65,1
2024-01-06,T02,66,1
2024-01-06,T03,67,1
2024-01-07,T01,68,1
2024-01-07,T02,69,1
2024-01-07,T03,70,1
2024-01-08,T01,71,1
2024-01-08,T02,72,1
2024-01-08,T03,73,1
2024-01-09,T01,74,1
2024-01-09,T02,75,1
2024-01-09,T03,76,1
2024-01-10,T01,77,1
2024-01-10,T02,78,1
2024-01-10,T03,79,1
