source,source_row,id_raw,title,maker,culture,medium,dimensions,date_text,date_begin_raw,date_end_raw,date_begin_parsed,date_end_parsed,date_parse_method,date_begin,date_end,id_norm,title_norm,maker_norm,medium_norm,orig_A_accno,orig_A_title,orig_A_year_note,orig_A_source,orig_A_source_row,orig_B_accession,orig_B_object_name,orig_B_remarks,orig_B_source,orig_B_source_row,cluster_id,sources,source_rows,n_merged_rows,date_mid
A,0,,,,,,,,,,,,empty,,,,,,,,,,A,0.0,,,,,,0,A,A:0,1,
B,0,,,,,,,,,,,,empty,,,,,,,,,,,,,,,B,0.0,36,B,B:0,1,
A,14,,Celadon dish,,,,,,,,,,empty,,,,celadon dish,,,R500,Celadon dish,Song; Longquan type,A,14.0,,,,,,11,A,A:14,1,
A,24,,Ewer,,,,,,,,,,empty,,,,ewer,,,H222,Ewer,Islamic metalwork; 12th c,A,24.0,,,,,,21,A,A:24,1,
A,6,,Ink landscape scroll,,,,,,,,,,empty,,,,ink landscape scroll,,,M205,Ink landscape scroll,Qing; note says 18th c,A,6.0,,,,,,4,A,A:6,1,
A,30,,Jade pendant,,,,,,,,,,empty,,,,jade pendant,,,G333,Jade pendant,Warring States style,A,30.0,,,,,,27,A,A:30,1,
A,16,,Lacquer box,,,,,,,,,,empty,,,,lacquer box,,,D77,Lacquer box,Edo; 17th c,A,16.0,,,,,,13,A,A:16,1,
A,5,,Landscape handscroll,,,,,,,,,,empty,,,,landscape handscroll,,,M-205,Landscape handscroll,dated 1752 in ledger,A,5.0,,,,,,3,A,A:5,1,
A,20,,Porcelain figure,,,,,,,,,,empty,,,,porcelain figure,,,B44,Porcelain figure,Kangxi period,A,20.0,,,,,,17,A,A:20,1,
A,36,,Replica vase,,,,,,,,,,empty,,,,replica vase,,,Z999,Replica vase,marked reproduction 1998,A,36.0,,,,,,33,A,A:36,1,
A,10,,Robe fragment,,,,,,,,,,empty,,,,robe fragment,,,P401,Robe fragment,late 19th c; silk,A,10.0,,,,,,7,A,A:10,1,
A,34,,Rubbing,,,,,,,,,,empty,,,,rubbing,,,A001,Rubbing,20th c copy of stele,A,34.0,,,,,,31,A,A:34,1,
A,22,,Silver hairpin,,,,,,,,,,empty,,,,silver hairpin,,,C901,Silver hairpin,Republic era; 1920s,A,22.0,,,,,,19,A,A:22,1,
A,12,,Stone Bodhisattva,,,,,,,,,,empty,,,,stone bodhisattva,,,K12,Stone Bodhisattva,Northern Qi style; year unclear,A,12.0,,,,,,9,A,A:12,1,
A,26,,Wood printing block,,,,,,,,,,empty,,,,wood printing block,,,J150,Wood printing block,Qing; 19th c,A,26.0,,,,,,23,A,A:26,1,
A,27,,block print wood,,,,,,,,,,empty,,,,block print wood,,,J-150,block print wood,1800s,A,27.0,,,,,,24,A,A:27,1,
A,29,,bottle snuff,,,,,,,,,,empty,,,,bottle snuff,,,L-600,bottle snuff,18th c,A,29.0,,,,,,26,A,A:29,1,
A,17,,box lacquer,,,,,,,,,,empty,,,,box lacquer,,,D-077,box lacquer,Japan; 1600s,A,17.0,,,,,,14,A,A:17,1,
A,15,,dish celadon,,,,,,,,,,empty,,,,dish celadon,,,R-500,dish celadon,Southern Song period note,A,15.0,,,,,,12,A,A:15,1,
A,25,,ewer brass,,,,,,,,,,empty,,,,ewer brass,,,H-222,ewer brass,medieval,A,25.0,,,,,,22,A,A:25,1,
A,21,,figurine porcelain,,,,,,,,,,empty,,,,figurine porcelain,,,B-044,figurine porcelain,Qing early,A,21.0,,,,,,18,A,A:21,1,
A,23,,hairpin silver,,,,,,,,,,empty,,,,hairpin silver,,,C-901,hairpin silver,early 20th c,A,23.0,,,,,,20,A,A:23,1,
A,9,,mirror bronze,,,,,,,,,,empty,,,,mirror bronze,,,T-088,mirror bronze,Tang dynasty per curator,A,9.0,,,,,,6,A,A:9,1,
A,31,,pendant jade,,,,,,,,,,empty,,,,pendant jade,,,G-333,pendant jade,Zhou period ref,A,31.0,,,,,,28,A,A:31,1,
A,35,,stele rubbing,,,,,,,,,,empty,,,,stele rubbing,,,A-001,stele rubbing,modern,A,35.0,,,,,,32,A,A:35,1,
A,19,,stone ink,,,,,,,,,,empty,,,,stone ink,,,N-300,stone ink,late Ming,A,19.0,,,,,,16,A,A:19,1,
A,38,,system footer,,,,,,,,,,empty,,,,system footer,,,TOTAL_ROWS,system footer,not an object,A,38.0,,,,,,35,A,A:38,1,
A,11,,textile robe piece,,,,,,,,,,empty,,,,textile robe piece,,,P-401,textile robe piece,circa 1890-1910,A,11.0,,,,,,8,A,A:11,1,
A,33,,vase cloisonne,,,,,,,,,,empty,,,,vase cloisonne,,,F-888,vase cloisonne,late Qing,A,33.0,,,,,,30,A,A:33,1,
A,37,,vase replica,,,,,,,,,,empty,,,,vase replica,,,Z-999,vase replica,1998,A,37.0,,,,,,34,A,A:37,1,
B,20,A001,Paper rubbing,,,,,,,,,,empty,,,A001,paper rubbing,,,,,,,,A001,Paper rubbing,modern,B,20.0,49,B,B:20,1,
