source,source_row,id_raw,title,maker,culture,medium,dimensions,date_text,date_begin_raw,date_end_raw,date_begin_parsed,date_end_parsed,date_parse_method,date_begin,date_end,id_norm,title_norm,maker_norm,medium_norm,orig_A_accno,orig_A_title,orig_A_year_note,orig_A_source,orig_A_source_row,orig_B_accession,orig_B_object_name,orig_B_remarks,orig_B_source,orig_B_source_row
A,0,,,,,,,,,,,,empty,,,,,,,,,,A,0.0,,,,,
A,1,,BATCH A PULL 2024-11,,,,,,,,,,empty,,,,batch a pull 2024 11,,,---,BATCH A PULL 2024-11,header row from vendor,A,1.0,,,,,
A,2,,"Vase, Han style",,,,,,,,,,empty,,,,vase han style,,,X-100,"Vase, Han style",listed as 200BC in card,A,2.0,,,,,
A,3,,Han vase (registrar dup),,,,,,,,,,empty,,,,han vase registrar dup,,,X 100,Han vase (registrar dup),same physical as X100,A,3.0,,,,,
A,4,,Vase Han-style,,,,,,,,,,empty,,,,vase han style,,,x_100,Vase Han-style,see photo sheet 7,A,4.0,,,,,
A,5,,Landscape handscroll,,,,,,,,,,empty,,,,landscape handscroll,,,M-205,Landscape handscroll,dated 1752 in ledger,A,5.0,,,,,
A,6,,Ink landscape scroll,,,,,,,,,,empty,,,,ink landscape scroll,,,M205,Ink landscape scroll,Qing; note says 18th c,A,6.0,,,,,
A,7,,scroll landscape,,,,,,,,,,empty,,,,scroll landscape,,,M 205,scroll landscape,c. mid-1700s,A,7.0,,,,,
A,8,,Bronze mirror,,,,,,,,,,empty,,,,bronze mirror,,,T88,Bronze mirror,Tang; 618-907 range on card,A,8.0,,,,,
A,9,,mirror bronze,,,,,,,,,,empty,,,,mirror bronze,,,T-088,mirror bronze,Tang dynasty per curator,A,9.0,,,,,
A,10,,Robe fragment,,,,,,,,,,empty,,,,robe fragment,,,P401,Robe fragment,late 19th c; silk,A,10.0,,,,,
A,11,,textile robe piece,,,,,,,,,,empty,,,,textile robe piece,,,P-401,textile robe piece,circa 1890-1910,A,11.0,,,,,
A,12,,Stone Bodhisattva,,,,,,,,,,empty,,,,stone bodhisattva,,,K12,Stone Bodhisattva,Northern Qi style; year unclear,A,12.0,,,,,
A,13,,Bodhisattva stone,,,,,,,,,,empty,,,,bodhisattva stone,,,K-012,Bodhisattva stone,550 CE approx on label,A,13.0,,,,,
A,14,,Celadon dish,,,,,,,,,,empty,,,,celadon dish,,,R500,Celadon dish,Song; Longquan type,A,14.0,,,,,
A,15,,dish celadon,,,,,,,,,,empty,,,,dish celadon,,,R-500,dish celadon,Southern Song period note,A,15.0,,,,,
A,16,,Lacquer box,,,,,,,,,,empty,,,,lacquer box,,,D77,Lacquer box,Edo; 17th c,A,16.0,,,,,
A,17,,box lacquer,,,,,,,,,,empty,,,,box lacquer,,,D-077,box lacquer,Japan; 1600s,A,17.0,,,,,
A,18,,Inkstone,,,,,,,,,,empty,,,,inkstone,,,N300,Inkstone,Ming; Wanli reign mentioned,A,18.0,,,,,
A,19,,stone ink,,,,,,,,,,empty,,,,stone ink,,,N-300,stone ink,late Ming,A,19.0,,,,,
