block,i,j,title_score,maker_score,combo_score,date_ok,merged
bodhisat|,13,48,100.0,100.0,100.0,True,True
bronze m|,8,45,100.0,100.0,100.0,True,True
celadon |,14,49,73.6842105263158,100.0,84.21052631578948,True,False
cloisonn|,32,58,100.0,100.0,100.0,True,True
han vase|,3,42,100.0,100.0,100.0,True,True
inkstone|,18,51,100.0,100.0,100.0,True,True
lacquer |,16,50,77.77777777777777,100.0,86.66666666666666,True,False
porcelai|,20,52,72.0,100.0,83.19999999999999,True,False
snuff bo|,28,56,100.0,100.0,100.0,True,True
vase han|,2,4,100.0,100.0,100.0,True,True
vase han|,2,41,100.0,100.0,100.0,True,True
|,0,39,0.0,100.0,40.0,True,False
